
#################################################################
Log started at 2025-06-12_15-49-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: bde3, Got: 0000
Checksum failed. Expected: e3aa, Got: 0000
Checksum failed. Expected: 3bc1, Got: 0000
Checksum failed. Expected: b127, Got: 0000
Checksum failed. Expected: 9332, Got: 0000
Checksum failed. Expected: 5801, Got: 0000
Checksum failed. Expected: 2774, Got: 0000
Checksum failed. Expected: 1dca, Got: 0000
Checksum failed. Expected: b7b4, Got: 0000
Checksum failed. Expected: efa0, Got: 0000
Checksum failed. Expected: 4170, Got: 0000
Checksum failed. Expected: 6749, Got: 0000
Checksum failed. Expected: 08a7, Got: 0000
Checksum failed. Expected: 8666, Got: 0000
Checksum failed. Expected: 25c1, Got: 0000
Checksum failed. Expected: b5fc, Got: 0000
Checksum failed. Expected: ad53, Got: 0000
Checksum failed. Expected: b2ac, Got: 0000
Checksum failed. Expected: 88d1, Got: 0000
Checksum failed. Expected: 22ce, Got: 0000
Checksum failed. Expected: 5006, Got: 0000
Checksum failed. Expected: ccbb, Got: 0000
Checksum failed. Expected: fa05, Got: 0000
Checksum failed. Expected: e9e4, Got: 0000
Checksum failed. Expected: 75c8, Got: 0000
Checksum failed. Expected: 5be5, Got: 0000
Checksum failed. Expected: a084, Got: 0000
Checksum failed. Expected: 6026, Got: 0000
Checksum failed. Expected: 86e4, Got: 0000
Checksum failed. Expected: 2c9d, Got: 0000
Checksum failed. Expected: 8fb2, Got: 0000
Checksum failed. Expected: 75e1, Got: 0000
Checksum failed. Expected: 3218, Got: 0000
Checksum failed. Expected: 83e1, Got: 0000
Checksum failed. Expected: 052c, Got: 0000
Checksum failed. Expected: b03e, Got: 0000
Checksum failed. Expected: a681, Got: 0000
Checksum failed. Expected: de61, Got: 0000
Checksum failed. Expected: ac12, Got: 0000
Checksum failed. Expected: ba14, Got: 0000
Checksum failed. Expected: 9014, Got: 0000
Checksum failed. Expected: dda0, Got: 0000
Checksum failed. Expected: e0e8, Got: 0000
Checksum failed. Expected: 99ea, Got: 0000
Checksum failed. Expected: 9171, Got: 0000
Checksum failed. Expected: 2715, Got: 0000
Checksum failed. Expected: b4e1, Got: 0000
Checksum failed. Expected: 08ae, Got: 0000
Checksum failed. Expected: 26e3, Got: 0000
Checksum failed. Expected: a72a, Got: 0000
Checksum failed. Expected: a5fd, Got: 0000
Checksum failed. Expected: ab59, Got: 0000
Checksum failed. Expected: 535e, Got: 0000
Checksum failed. Expected: 161a, Got: 0000
Checksum failed. Expected: 0e80, Got: 0000
Checksum failed. Expected: b772, Got: 0000
Checksum failed. Expected: df50, Got: 0000
Checksum failed. Expected: c8c6, Got: 0000
Checksum failed. Expected: 7710, Got: 0000
Checksum failed. Expected: 80cb, Got: 0000
Checksum failed. Expected: 3157, Got: 0000
Checksum failed. Expected: 9100, Got: 0000
Checksum failed. Expected: 5705, Got: 0000
Checksum failed. Expected: 16a8, Got: 0000
Checksum failed. Expected: 0bd9, Got: 0000
Checksum failed. Expected: 5c6e, Got: 0000
