
#################################################################
Log started at 2025-06-12_15-54-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: ecce, Got: dc4c
Checksum failed. Expected: ea9f, Got: e640
Checksum failed. Expected: d123, Got: eb01
Checksum failed. Expected: 25ed, Got: 6971
Checksum failed. Expected: f123, Got: 739c
Checksum failed. Expected: 4ba2, Got: f18c
Checksum failed. Expected: 9232, Got: 6a29
Checksum failed. Expected: d41b, Got: e676
Checksum failed. Expected: 3549, Got: 6b2b
Checksum failed. Expected: 95a3, Got: 640b
Checksum failed. Expected: 068c, Got: 5fb8
Checksum failed. Expected: d925, Got: e6b9
Checksum failed. Expected: 504f, Got: e74c
Checksum failed. Expected: 78ca, Got: e40a
Checksum failed. Expected: bd38, Got: 666d
Checksum failed. Expected: 83f7, Got: e325
Checksum failed. Expected: a1d1, Got: f056
Checksum failed. Expected: e4a9, Got: fd2f
Checksum failed. Expected: ce2c, Got: 69e2
Checksum failed. Expected: 6a95, Got: ebd7
Checksum failed. Expected: 3a98, Got: e627
Checksum failed. Expected: 64bd, Got: 6909
Checksum failed. Expected: 0485, Got: 5802
Checksum failed. Expected: 04ec, Got: ddcd
Checksum failed. Expected: 893a, Got: e952
Checksum failed. Expected: 0a3c, Got: 6f20
Checksum failed. Expected: 04c9, Got: ef47
Checksum failed. Expected: fbf7, Got: 6dff
Checksum failed. Expected: 7f90, Got: e168
Checksum failed. Expected: 4a82, Got: e9ff
Checksum failed. Expected: 313f, Got: e67f
Checksum failed. Expected: b355, Got: e3c0
Checksum failed. Expected: 00cc, Got: 6c7e
Checksum failed. Expected: b6cb, Got: 6cc7
Checksum failed. Expected: 0c39, Got: 6e12
Checksum failed. Expected: a136, Got: e27a
Checksum failed. Expected: 5506, Got: 55f6
Checksum failed. Expected: 8734, Got: d828
Checksum failed. Expected: bdf9, Got: 64d1
Checksum failed. Expected: a6a6, Got: 6240
Checksum failed. Expected: c499, Got: def9
Checksum failed. Expected: 7ec0, Got: 6621
Checksum failed. Expected: dc86, Got: 6116
Checksum failed. Expected: 4b65, Got: e7fe
Checksum failed. Expected: 350f, Got: 6533
Checksum failed. Expected: f9e6, Got: e709
Checksum failed. Expected: fdf9, Got: 6606
Checksum failed. Expected: 61c2, Got: ec1b
Checksum failed. Expected: d4a6, Got: 6fe4
Checksum failed. Expected: 1e70, Got: e818
Checksum failed. Expected: cfbb, Got: 654c
Checksum failed. Expected: 2ae6, Got: e33e
Checksum failed. Expected: 0f92, Got: e130
Checksum failed. Expected: 6ef4, Got: e5e7
Checksum failed. Expected: aba0, Got: e66b
Checksum failed. Expected: e5dd, Got: e888
Checksum failed. Expected: 0937, Got: f067
Checksum failed. Expected: 03d3, Got: 7046
Checksum failed. Expected: 22a6, Got: 77cd
Checksum failed. Expected: 8f7e, Got: 7845
Checksum failed. Expected: 5339, Got: 701e
Checksum failed. Expected: 8657, Got: 62aa
Checksum failed. Expected: 8f23, Got: dfbf
Checksum failed. Expected: f92f, Got: 6ce7
Checksum failed. Expected: 199d, Got: f6c5
Checksum failed. Expected: 2105, Got: f30e
Checksum failed. Expected: 8b47, Got: eae0
Checksum failed. Expected: 413a, Got: ede8
Checksum failed. Expected: 4e5a, Got: ee50
Checksum failed. Expected: 0a38, Got: e895
Checksum failed. Expected: ff29, Got: e649
Checksum failed. Expected: 6605, Got: e60f
Checksum failed. Expected: 9329, Got: eb8c
Checksum failed. Expected: 11e7, Got: fa43
Checksum failed. Expected: bdde, Got: 7c9a
Checksum failed. Expected: 3bf6, Got: f849
Checksum failed. Expected: e297, Got: 01da
Checksum failed. Expected: c01c, Got: fe36
Checksum failed. Expected: cc2a, Got: 76cb
Checksum failed. Expected: 7636, Got: fa50
Checksum failed. Expected: 8ab9, Got: fdda
Checksum failed. Expected: ad15, Got: 8486
Checksum failed. Expected: e71a, Got: fcf5
Checksum failed. Expected: 6313, Got: ec45
Checksum failed. Expected: 298d, Got: dc8e
Checksum failed. Expected: 589d, Got: 5a24
Checksum failed. Expected: 4c47, Got: 663c
Checksum failed. Expected: 795a, Got: 6efd
Checksum failed. Expected: 7644, Got: 6cc2
Checksum failed. Expected: 5f8f, Got: efbe
Checksum failed. Expected: 479a, Got: 6bc3
Checksum failed. Expected: 57ef, Got: 690b
Checksum failed. Expected: 2a15, Got: e4a7
Checksum failed. Expected: 5a6c, Got: e250
Checksum failed. Expected: 04af, Got: d70c
Checksum failed. Expected: f93a, Got: 55a8
Checksum failed. Expected: 8627, Got: da19
Checksum failed. Expected: cc80, Got: 62ea
Checksum failed. Expected: 31a0, Got: ec5b
Checksum failed. Expected: f266, Got: e723
Checksum failed. Expected: f8d5, Got: 659e
Checksum failed. Expected: c060, Got: eb40
Checksum failed. Expected: dab1, Got: eac6
Checksum failed. Expected: 5065, Got: df5a
Checksum failed. Expected: 7dc1, Got: 6052
Checksum failed. Expected: ea77, Got: e348
Checksum failed. Expected: 947a, Got: 7a1c
Checksum failed. Expected: 4a77, Got: 7be5
Checksum failed. Expected: b95d, Got: 6c89
Checksum failed. Expected: c39f, Got: e2e3
Checksum failed. Expected: ceb2, Got: e63f
Checksum failed. Expected: 643c, Got: e7bb
Checksum failed. Expected: 65ed, Got: e708
Checksum failed. Expected: 24bd, Got: 6d94
Checksum failed. Expected: 0be6, Got: 6e4d
Checksum failed. Expected: 858d, Got: e5fe
Checksum failed. Expected: 917d, Got: e054
Checksum failed. Expected: c300, Got: e444
Checksum failed. Expected: 9e94, Got: e331
Checksum failed. Expected: 0b2d, Got: e272
Checksum failed. Expected: 2b77, Got: e3f1
Checksum failed. Expected: e6d1, Got: 61fa
Checksum failed. Expected: 7fb3, Got: 668b
Checksum failed. Expected: 5f11, Got: 6a2a
Checksum failed. Expected: 71e6, Got: ec61
Checksum failed. Expected: d679, Got: e597
Checksum failed. Expected: a5e1, Got: de01
Checksum failed. Expected: 043f, Got: e57f
