
#################################################################
Log started at 2025-06-12_16-32-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 9eb9, Got: c783
Checksum failed. Expected: 008b, Got: d0c6
Checksum failed. Expected: 0463, Got: ce5d
Checksum failed. Expected: ac39, Got: c84e
Checksum failed. Expected: aa3b, Got: 53cc
Checksum failed. Expected: 2074, Got: 498e
Checksum failed. Expected: 0220, Got: 4426
Checksum failed. Expected: 5c2f, Got: ce5c
Checksum failed. Expected: 0f07, Got: d4bf
Checksum failed. Expected: dc8f, Got: cff8
Checksum failed. Expected: ae1f, Got: ca57
Checksum failed. Expected: 94d7, Got: c7a2
Checksum failed. Expected: b1c5, Got: c73b
Checksum failed. Expected: 5863, Got: 4930
Checksum failed. Expected: 6db7, Got: ca1b
Checksum failed. Expected: 68b8, Got: c431
Checksum failed. Expected: b44a, Got: 4436
Checksum failed. Expected: 1729, Got: 4645
Checksum failed. Expected: a712, Got: c161
Checksum failed. Expected: b2fc, Got: 44c8
Checksum failed. Expected: 223a, Got: 5271
Checksum failed. Expected: d945, Got: d2fc
Checksum failed. Expected: cad5, Got: d3c1
Checksum failed. Expected: 71f4, Got: ce48
Checksum failed. Expected: 71ff, Got: 4abf
Checksum failed. Expected: 6d70, Got: ce57
Checksum failed. Expected: 06f5, Got: d348
Checksum failed. Expected: 7474, Got: cc17
Checksum failed. Expected: 485a, Got: bb3f
Checksum failed. Expected: 627d, Got: 3683
Checksum failed. Expected: dc71, Got: bc5f
Checksum failed. Expected: 1f57, Got: c5bd
Checksum failed. Expected: b789, Got: c266
Checksum failed. Expected: a267, Got: 407c
Checksum failed. Expected: ef01, Got: bd83
Checksum failed. Expected: a3e8, Got: 489a
Checksum failed. Expected: 4b12, Got: 4812
Checksum failed. Expected: ef0d, Got: 4e04
Checksum failed. Expected: bde9, Got: 4c49
Checksum failed. Expected: 55a0, Got: c8f1
Checksum failed. Expected: 9ffb, Got: 4aef
Checksum failed. Expected: ffc7, Got: 4651
Checksum failed. Expected: 9574, Got: 4523
Checksum failed. Expected: 0424, Got: 4da4
Checksum failed. Expected: 5556, Got: 45e8
Checksum failed. Expected: 661e, Got: c32c
Checksum failed. Expected: 7e56, Got: bd1f
Checksum failed. Expected: ab75, Got: c8e8
Checksum failed. Expected: d86d, Got: d007
Checksum failed. Expected: 4926, Got: cc7e
Checksum failed. Expected: fc5b, Got: c32f
Checksum failed. Expected: 3701, Got: 40cf
Checksum failed. Expected: 1a27, Got: c433
Checksum failed. Expected: 2896, Got: c841
Checksum failed. Expected: 4fb7, Got: c83e
Checksum failed. Expected: 35f3, Got: bd11
Checksum failed. Expected: 2eab, Got: d21c
Checksum failed. Expected: 421a, Got: 6034
Checksum failed. Expected: 5217, Got: 54b0
Checksum failed. Expected: 577b, Got: d3b2
Checksum failed. Expected: f5f0, Got: d0ed
Checksum failed. Expected: 1054, Got: 4d16
Checksum failed. Expected: 4868, Got: d6fe
Checksum failed. Expected: 90b4, Got: 5c66
Checksum failed. Expected: 5979, Got: d25e
Checksum failed. Expected: 0917, Got: 4e5c
Checksum failed. Expected: 372a, Got: 4f69
Checksum failed. Expected: 00e1, Got: 4ece
Checksum failed. Expected: cf2e, Got: 527c
Checksum failed. Expected: 7bb4, Got: d22a
Checksum failed. Expected: 6e72, Got: d300
Checksum failed. Expected: c628, Got: d6d5
Checksum failed. Expected: 3028, Got: d518
Checksum failed. Expected: 8a20, Got: cfb5
Checksum failed. Expected: 9b18, Got: cebc
Checksum failed. Expected: 8325, Got: c818
Checksum failed. Expected: 1a86, Got: 507a
Checksum failed. Expected: 07b6, Got: 5b72
Checksum failed. Expected: 6cc7, Got: e5f4
Checksum failed. Expected: 0aec, Got: 643d
Checksum failed. Expected: bf63, Got: 6689
Checksum failed. Expected: e461, Got: cccd
Checksum failed. Expected: bef1, Got: 2fe4
Checksum failed. Expected: ab7b, Got: 3d36
Checksum failed. Expected: 17e0, Got: 639f
Checksum failed. Expected: e7a3, Got: dd5d
Checksum failed. Expected: 8e50, Got: d059
Checksum failed. Expected: 37d5, Got: d8d7
Checksum failed. Expected: d511, Got: eff0
Checksum failed. Expected: 4d06, Got: 5cb2
Checksum failed. Expected: 1d87, Got: cc28
Checksum failed. Expected: 545f, Got: 501f
Checksum failed. Expected: 5528, Got: 4cab
Checksum failed. Expected: 3491, Got: 5a42
Checksum failed. Expected: 31e1, Got: d1fc
Checksum failed. Expected: 92b9, Got: dce9
Checksum failed. Expected: 7925, Got: 4b45
Checksum failed. Expected: 791f, Got: d4c8
Checksum failed. Expected: b29c, Got: 5deb
Checksum failed. Expected: 5a17, Got: c2c4
Checksum failed. Expected: f142, Got: af5f
Checksum failed. Expected: 5939, Got: be87
Checksum failed. Expected: 414c, Got: c815
Checksum failed. Expected: b11b, Got: 3e35
Checksum failed. Expected: d362, Got: 41ee
Checksum failed. Expected: f92b, Got: 3834
Checksum failed. Expected: f638, Got: 3b18
Checksum failed. Expected: 8303, Got: b923
Checksum failed. Expected: 3971, Got: 481f
Checksum failed. Expected: f2e3, Got: 4aea
Checksum failed. Expected: aef8, Got: c503
Checksum failed. Expected: f6e3, Got: b4f1
Checksum failed. Expected: fdcf, Got: af05
Checksum failed. Expected: 3acd, Got: 3d56
Checksum failed. Expected: 648b, Got: 38ee
Checksum failed. Expected: 02f4, Got: 40d1
Checksum failed. Expected: 95fd, Got: c7a6
Checksum failed. Expected: a327, Got: b543
Checksum failed. Expected: 0d0d, Got: acc4
Checksum failed. Expected: 286d, Got: ae86
Checksum failed. Expected: ca7b, Got: aaf0
Checksum failed. Expected: b8d7, Got: b35c
Checksum failed. Expected: 8e6c, Got: b3e5
Checksum failed. Expected: 9b94, Got: 309b
Checksum failed. Expected: 5b9c, Got: bc8f
Checksum failed. Expected: 1ccf, Got: 4928
Checksum failed. Expected: 2e19, Got: c35f
Checksum failed. Expected: dd95, Got: 3fec
Checksum failed. Expected: 2e6c, Got: bf4c
Checksum failed. Expected: 27fa, Got: 41b8
Checksum failed. Expected: dfb8, Got: 45ae
Checksum failed. Expected: 46fa, Got: 3d55
Checksum failed. Expected: af94, Got: bf48
Checksum failed. Expected: 67a9, Got: c323
Checksum failed. Expected: 2014, Got: c0cf
Checksum failed. Expected: d7f3, Got: 3cc8
Checksum failed. Expected: b624, Got: 36b2
Checksum failed. Expected: 28a5, Got: 3704
Checksum failed. Expected: ac01, Got: a982
Checksum failed. Expected: 3301, Got: 3a45
Checksum failed. Expected: 80d7, Got: c2b7
Checksum failed. Expected: 94f4, Got: 39f9
Checksum failed. Expected: 1d4e, Got: 3900
Checksum failed. Expected: 9668, Got: bde2
Checksum failed. Expected: 8e30, Got: 46b3
Checksum failed. Expected: 3922, Got: 48f4
Checksum failed. Expected: a67f, Got: c320
Checksum failed. Expected: 8953, Got: d0e6
Checksum failed. Expected: d17f, Got: d444
