
#################################################################
Log started at 2025-06-13_14-54-28 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 1274, Got: bd96
Checksum failed. Expected: 5fe4, Got: bd96
Checksum failed. Expected: 6db9, Got: bd96
Checksum failed. Expected: f709, Got: bd95
Checksum failed. Expected: ce51, Got: bd94
Checksum failed. Expected: 6154, Got: bd94
Checksum failed. Expected: 07d7, Got: bd93
Checksum failed. Expected: 258a, Got: bd92
Checksum failed. Expected: 5dde, Got: bd91
Checksum failed. Expected: 74ed, Got: bd91
Checksum failed. Expected: 442e, Got: bd91
Checksum failed. Expected: d435, Got: bd91
Checksum failed. Expected: 241c, Got: bd91
Checksum failed. Expected: ebd6, Got: bd90
Checksum failed. Expected: 9d4e, Got: bd8f
Checksum failed. Expected: a8b8, Got: bd8f
Checksum failed. Expected: 43a6, Got: bd8f
Checksum failed. Expected: c8ad, Got: bd90
Checksum failed. Expected: 97db, Got: bd91
Checksum failed. Expected: 1242, Got: bd91
Checksum failed. Expected: 63a4, Got: bd91
Checksum failed. Expected: 3685, Got: bd91
Checksum failed. Expected: 3adc, Got: bd8f
Checksum failed. Expected: 0779, Got: bd8f
Checksum failed. Expected: 4b36, Got: bd8e
Checksum failed. Expected: 84b0, Got: bd8e
Checksum failed. Expected: 90a0, Got: bd8d
Checksum failed. Expected: c0c2, Got: bd8d
Checksum failed. Expected: 2d50, Got: bd8d
Checksum failed. Expected: a0b4, Got: bd8e
Checksum failed. Expected: 91f4, Got: bd8e
Checksum failed. Expected: 8e53, Got: bd8d
Checksum failed. Expected: 3f61, Got: bd8e
Checksum failed. Expected: 2f73, Got: bd8e
Checksum failed. Expected: 5be1, Got: bd8d
Checksum failed. Expected: b2a0, Got: bd8c
Checksum failed. Expected: cc98, Got: bd8b
Checksum failed. Expected: 1fac, Got: bd89
Checksum failed. Expected: 7970, Got: bd8a
Checksum failed. Expected: 44fd, Got: bd8a
Checksum failed. Expected: ef89, Got: bd89
Checksum failed. Expected: f7eb, Got: bd89
Checksum failed. Expected: e8a4, Got: bd89
Checksum failed. Expected: 82ab, Got: bd89
Checksum failed. Expected: 2247, Got: bd89
Checksum failed. Expected: 3a60, Got: bd8a
Checksum failed. Expected: 9b02, Got: bd8a
Checksum failed. Expected: b7b7, Got: bd89
Checksum failed. Expected: 8287, Got: bd89
Checksum failed. Expected: c8d2, Got: bd89
Checksum failed. Expected: 0372, Got: bd89
Checksum failed. Expected: 48f6, Got: bd8a
Checksum failed. Expected: fd4d, Got: bd8a
Checksum failed. Expected: e383, Got: bd8a
Checksum failed. Expected: 3406, Got: bd8c
Checksum failed. Expected: 115d, Got: bd8d
