
#################################################################
Log started at 2025-06-16_09-24-54.581928 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: ef9c, Got: 801c
Checksum failed. Expected: 1c50, Got: 801c
Checksum failed. Expected: b1a4, Got: 801c
Checksum failed. Expected: 677c, Got: 801c
Checksum failed. Expected: 04f0, Got: 801c
Checksum failed. Expected: c1e4, Got: 801c
Checksum failed. Expected: 70a0, Got: 801c
Checksum failed. Expected: 3bcc, Got: 801c
Checksum failed. Expected: ef9c, Got: 801c
Checksum failed. Expected: ce18, Got: 801c
Checksum failed. Expected: f1a4, Got: 801c
Checksum failed. Expected: 5840, Got: 801c
Checksum failed. Expected: c5f4, Got: 801c
Checksum failed. Expected: 5430, Got: 801c
Checksum failed. Expected: 38c0, Got: 801c
Checksum failed. Expected: aa88, Got: 801c
Checksum failed. Expected: b6b8, Got: 801c
Checksum failed. Expected: b3ac, Got: 801c
Checksum failed. Expected: 73ac, Got: 801c
Checksum failed. Expected: d228, Got: 801c
Checksum failed. Expected: 6164, Got: 801c
Checksum failed. Expected: e470, Got: 801c
Checksum failed. Expected: 9944, Got: 801c
Checksum failed. Expected: f8c0, Got: 801c
Checksum failed. Expected: b2a8, Got: 801c
Checksum failed. Expected: 82e8, Got: 801c
Checksum failed. Expected: 6b8c, Got: 801c
Checksum failed. Expected: 75b4, Got: 801c
Checksum failed. Expected: bdd4, Got: 801c
Checksum failed. Expected: 8800, Got: 801c
Checksum failed. Expected: 5944, Got: 801c
Checksum failed. Expected: 6e98, Got: 801c
Checksum failed. Expected: 8c10, Got: 801c
Checksum failed. Expected: a164, Got: 801c
Checksum failed. Expected: 4e18, Got: 801c
Checksum failed. Expected: 2d94, Got: 801c
Checksum failed. Expected: 4d14, Got: 801c
Checksum failed. Expected: 2678, Got: 801c
Checksum failed. Expected: af9c, Got: 801c
Checksum failed. Expected: 4800, Got: 801c
Checksum failed. Expected: fed8, Got: 801c
Checksum failed. Expected: a268, Got: 801c
Checksum failed. Expected: 76b8, Got: 801c
Checksum failed. Expected: 45f4, Got: 801c
Checksum failed. Expected: 8b0c, Got: 801c
Checksum failed. Expected: 33ac, Got: 801c
Checksum failed. Expected: 71a4, Got: 801c
Checksum failed. Expected: 78c0, Got: 801c
Checksum failed. Expected: 1638, Got: 801c
Checksum failed. Expected: e268, Got: 801c
Checksum failed. Expected: b2a8, Got: 801c
Checksum failed. Expected: 9944, Got: 801c
Checksum failed. Expected: 87fc, Got: 801c
Checksum failed. Expected: 0e18, Got: 801c
Checksum failed. Expected: 940a, Got: 043b
Checksum failed. Expected: f57a, Got: 043b
Checksum failed. Expected: 4e64, Got: 043b
Checksum failed. Expected: 6a55, Got: 043b
Checksum failed. Expected: 058e, Got: 043b
Checksum failed. Expected: b795, Got: 043b
Checksum failed. Expected: 6219, Got: 043b
Checksum failed. Expected: 071b, Got: 043b
Checksum failed. Expected: f1b0, Got: 043b
Checksum failed. Expected: 1ff8, Got: 043b
Checksum failed. Expected: 1f81, Got: 043b
Checksum failed. Expected: badd, Got: 043b
Checksum failed. Expected: b504, Got: 043b
Checksum failed. Expected: def1, Got: 043b
Checksum failed. Expected: b734, Got: 043b
Checksum failed. Expected: b337, Got: 043b
Checksum failed. Expected: 1d66, Got: 043b
Checksum failed. Expected: 6b69, Got: 043b
Checksum failed. Expected: a067, Got: 043b
Checksum failed. Expected: 48bf, Got: 043b
Checksum failed. Expected: 3c45, Got: 043b
Checksum failed. Expected: 3522, Got: 043b
Checksum failed. Expected: eb8a, Got: 043b
Checksum failed. Expected: 5a35, Got: 043b
Checksum failed. Expected: 96be, Got: 043b
Checksum failed. Expected: 6de9, Got: 043b
Checksum failed. Expected: 5bd8, Got: 043b
