
#################################################################
Log started at 2025-06-13_14-53-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: c328, Got: 0575
Checksum failed. Expected: 41bf, Got: 1e75
Checksum failed. Expected: dd53, Got: 1675
Checksum failed. Expected: 7b8b, Got: b075
Checksum failed. Expected: ab2f, Got: 2475
Checksum failed. Expected: b581, Got: 6c75
Checksum failed. Expected: 9d37, Got: 3a75
Checksum failed. Expected: 49e6, Got: 3d75
Checksum failed. Expected: 49d3, Got: 2a75
Checksum failed. Expected: 87bc, Got: d575
Checksum failed. Expected: 6d62, Got: 9575
Checksum failed. Expected: a5d7, Got: d275
Checksum failed. Expected: 47d1, Got: 2a75
Checksum failed. Expected: eb27, Got: dc75
Checksum failed. Expected: ebb3, Got: 6875
Checksum failed. Expected: 59c2, Got: 0975
Checksum failed. Expected: 7774, Got: 9d75
Checksum failed. Expected: 8fa7, Got: b875
Checksum failed. Expected: 8573, Got: 8e75
Checksum failed. Expected: f948, Got: ef75
Checksum failed. Expected: 2d9a, Got: 0d75
Checksum failed. Expected: 9b44, Got: 4975
Checksum failed. Expected: ebb1, Got: 6675
Checksum failed. Expected: 4933, Got: 8a75
Checksum failed. Expected: 6350, Got: 8d75
Checksum failed. Expected: b530, Got: 1b75
Checksum failed. Expected: 19d1, Got: 5875
Checksum failed. Expected: 6d56, Got: 8975
Checksum failed. Expected: f9bd, Got: 6475
Checksum failed. Expected: 81a2, Got: c175
Checksum failed. Expected: 01ee, Got: 8d75
Checksum failed. Expected: fd43, Got: e675
Checksum failed. Expected: d555, Got: 2075
Checksum failed. Expected: 69ff, Got: 3675
Checksum failed. Expected: 5916, Got: 5d75
Checksum failed. Expected: b7bd, Got: a675
Checksum failed. Expected: 43d5, Got: 3275
Checksum failed. Expected: 5985, Got: cc75
Checksum failed. Expected: e3d6, Got: 9375
Checksum failed. Expected: 4b55, Got: aa75
Checksum failed. Expected: 4f88, Got: d975
Checksum failed. Expected: 1969, Got: f075
Checksum failed. Expected: 4fb5, Got: 0675
Checksum failed. Expected: 5f64, Got: a575
Checksum failed. Expected: 4fe1, Got: 3275
Checksum failed. Expected: b366, Got: 5375
Checksum failed. Expected: 21a2, Got: 2175
Checksum failed. Expected: 2b2b, Got: a075
Checksum failed. Expected: 215e, Got: dd75
Checksum failed. Expected: 816f, Got: 8e75
Checksum failed. Expected: 6df5, Got: 2875
Checksum failed. Expected: 49be, Got: 1575
Checksum failed. Expected: b322, Got: 0f75
Checksum failed. Expected: cf23, Got: f475
Checksum failed. Expected: 3336, Got: a375
Checksum failed. Expected: 2123, Got: a275
Checksum failed. Expected: 2f86, Got: f775
Checksum failed. Expected: 5db8, Got: fb75
Checksum failed. Expected: ab5d, Got: 5275
Checksum failed. Expected: 9156, Got: 6575
Checksum failed. Expected: bd68, Got: 4b75
Checksum failed. Expected: df32, Got: f375
Checksum failed. Expected: 6356, Got: 9375
Checksum failed. Expected: 7f3e, Got: 5f75
Checksum failed. Expected: 63e5, Got: 2275
Checksum failed. Expected: 8ff1, Got: 0275
Checksum failed. Expected: 0bbf, Got: 5475
Checksum failed. Expected: 0bd9, Got: 6e75
Checksum failed. Expected: 3554, Got: bf75
Checksum failed. Expected: f986, Got: 2d75
Checksum failed. Expected: 87e2, Got: fb75
Checksum failed. Expected: fba7, Got: 4c75
Checksum failed. Expected: 238d, Got: 0a75
Checksum failed. Expected: 2590, Got: 0b75
Checksum failed. Expected: 374a, Got: b375
Checksum failed. Expected: d9b6, Got: 7d75
Checksum failed. Expected: 8d1f, Got: 3275
Checksum failed. Expected: d97f, Got: 4675
Checksum failed. Expected: 116d, Got: fc75
Checksum failed. Expected: c54f, Got: 2a75
Checksum failed. Expected: e755, Got: 0e75
Checksum failed. Expected: 4343, Got: a075
Checksum failed. Expected: e17e, Got: 3d75
Checksum failed. Expected: 516e, Got: bd75
Checksum failed. Expected: 0bcf, Got: 6475
Checksum failed. Expected: 7313, Got: 4075
Checksum failed. Expected: 6141, Got: 8075
Checksum failed. Expected: 2969, Got: e075
Checksum failed. Expected: c916, Got: ed75
Checksum failed. Expected: 2b0c, Got: 8175
Checksum failed. Expected: f57f, Got: 2a75
Checksum failed. Expected: 7fc8, Got: e975
Checksum failed. Expected: efcf, Got: 8075
