
#################################################################
Log started at 2025-06-12_16-18-35 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 6bdc, Got: a1cb
Checksum failed. Expected: aa9f, Got: 1063
Checksum failed. Expected: 8069, Got: 7efa
Checksum failed. Expected: c155, Got: ed92
Checksum failed. Expected: f659, Got: 5c29
Checksum failed. Expected: 8bb4, Got: cac1
Checksum failed. Expected: 1cd4, Got: 3958
Checksum failed. Expected: cb9b, Got: a7f0
Checksum failed. Expected: 80b3, Got: 1688
Checksum failed. Expected: ecbd, Got: 851f
Checksum failed. Expected: f579, Got: f3b7
Checksum failed. Expected: 62a1, Got: 624e
Checksum failed. Expected: 375a, Got: d0e6
Checksum failed. Expected: c232, Got: 3f7d
Checksum failed. Expected: b27b, Got: ae15
Checksum failed. Expected: 6eed, Got: 1cac
Checksum failed. Expected: ca32, Got: 8b44
Checksum failed. Expected: aaa9, Got: f9db
Checksum failed. Expected: 521e, Got: 6873
Checksum failed. Expected: cbde, Got: d70b
Checksum failed. Expected: 8960, Got: 45a2
Checksum failed. Expected: 2531, Got: b43a
Checksum failed. Expected: dd5f, Got: 22d1
Checksum failed. Expected: 3032, Got: 9169
Checksum failed. Expected: 93a3, Got: 0000
Checksum failed. Expected: 304c, Got: 6e98
Checksum failed. Expected: 7bb1, Got: dd2f
Checksum failed. Expected: e9e6, Got: 4bc7
Checksum failed. Expected: 707e, Got: ba5f
Checksum failed. Expected: 75e2, Got: 28f6
Checksum failed. Expected: 6221, Got: 978e
Checksum failed. Expected: 1c6b, Got: 0625
Checksum failed. Expected: 1976, Got: 74bd
Checksum failed. Expected: d60b, Got: e354
Checksum failed. Expected: 7b4e, Got: 51ec
Checksum failed. Expected: efd0, Got: c083
Checksum failed. Expected: 5e1f, Got: 2f1b
Checksum failed. Expected: f35b, Got: 9db3
Checksum failed. Expected: 3d99, Got: 0c4a
Checksum failed. Expected: 3eba, Got: 7ae2
Checksum failed. Expected: cdd7, Got: e979
Checksum failed. Expected: 9606, Got: 5811
Checksum failed. Expected: 5e18, Got: c6a8
Checksum failed. Expected: 7c01, Got: 3540
Checksum failed. Expected: bca3, Got: a3d7
Checksum failed. Expected: 6742, Got: 126f
Checksum failed. Expected: 4bdc, Got: 8106
Checksum failed. Expected: 10e0, Got: ef9e
Checksum failed. Expected: b740, Got: 5e36
Checksum failed. Expected: 6d4a, Got: cccd
Checksum failed. Expected: 5113, Got: 3b65
Checksum failed. Expected: f2f7, Got: a9fc
Checksum failed. Expected: e694, Got: 1894
Checksum failed. Expected: 9b7a, Got: 872b
Checksum failed. Expected: a442, Got: f5c3
Checksum failed. Expected: 4fce, Got: 645a
Checksum failed. Expected: 3597, Got: d2f2
Checksum failed. Expected: 1a4f, Got: 418a
Checksum failed. Expected: 1ea9, Got: b021
Checksum failed. Expected: 4934, Got: 1eb9
Checksum failed. Expected: 2ffe, Got: 8d50
Checksum failed. Expected: fe8e, Got: fbe8
Checksum failed. Expected: 22c4, Got: 6a7f
Checksum failed. Expected: 58e1, Got: d917
Checksum failed. Expected: b2f7, Got: 47ae
Checksum failed. Expected: 60b8, Got: b646

Exiting...
