
#################################################################
Log started at 2025-06-16_09-42-22.037339 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-0.731059, Y=0.135836, Z=9.773527 m/s^2 Time of Week: 131.934000, Week Number: 0
Acceleration: X=-0.722250, Y=0.130351, Z=9.782141 m/s^2 Time of Week: 131.938000, Week Number: 0
Acceleration: X=-0.720479, Y=0.138156, Z=9.785106 m/s^2 Time of Week: 131.942000, Week Number: 0
Acceleration: X=-0.717913, Y=0.143117, Z=9.779725 m/s^2 Time of Week: 131.946000, Week Number: 0
Acceleration: X=-0.722345, Y=0.143019, Z=9.788258 m/s^2 Time of Week: 131.950000, Week Number: 0
Acceleration: X=-0.721749, Y=0.144821, Z=9.791424 m/s^2 Time of Week: 131.954000, Week Number: 0
Acceleration: X=-0.726222, Y=0.148358, Z=9.792107 m/s^2 Time of Week: 131.958000, Week Number: 0
Acceleration: X=-0.724362, Y=0.146716, Z=9.775143 m/s^2 Time of Week: 131.962000, Week Number: 0
Acceleration: X=-0.727073, Y=0.149942, Z=9.775144 m/s^2 Time of Week: 131.966000, Week Number: 0
Acceleration: X=-0.728678, Y=0.136613, Z=9.778979 m/s^2 Time of Week: 131.970000, Week Number: 0
Acceleration: X=-0.730206, Y=0.135708, Z=9.774093 m/s^2 Time of Week: 131.974000, Week Number: 0
Acceleration: X=-0.734263, Y=0.138016, Z=9.772789 m/s^2 Time of Week: 131.978000, Week Number: 0
Acceleration: X=-0.732438, Y=0.134051, Z=9.775335 m/s^2 Time of Week: 131.982000, Week Number: 0
Acceleration: X=-0.732408, Y=0.129536, Z=9.765676 m/s^2 Time of Week: 131.986000, Week Number: 0
Acceleration: X=-0.726592, Y=0.133881, Z=9.769931 m/s^2 Time of Week: 131.990000, Week Number: 0
Acceleration: X=-0.723606, Y=0.140486, Z=9.774071 m/s^2 Time of Week: 131.994000, Week Number: 0
Acceleration: X=-0.726543, Y=0.136294, Z=9.773798 m/s^2 Time of Week: 131.998000, Week Number: 0
