
#################################################################
Log started at 2025-06-12_16-20-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 381f, Got: 6667
Checksum failed. Expected: 54bd, Got: d4fe
Checksum failed. Expected: 551c, Got: 4396
Checksum failed. Expected: e1da, Got: b22d
Checksum failed. Expected: 8e8d, Got: 20c5
Checksum failed. Expected: dcfb, Got: 8f5d
Checksum failed. Expected: 067e, Got: fdf4
Checksum failed. Expected: 8c17, Got: 6c8c
Checksum failed. Expected: 226d, Got: db23
Checksum failed. Expected: ccd3, Got: 49bb
Checksum failed. Expected: 7f30, Got: e148
Checksum failed. Expected: ae79, Got: 4fe0
Checksum failed. Expected: 33f5, Got: be77
Checksum failed. Expected: ea28, Got: 2d0f
Checksum failed. Expected: 9388, Got: 9ba6
Checksum failed. Expected: 3d19, Got: 0a3e
Checksum failed. Expected: ad5b, Got: 78d5
Checksum failed. Expected: 4827, Got: e76d
Checksum failed. Expected: 1251, Got: 5604
Checksum failed. Expected: 5f9a, Got: c49c
Checksum failed. Expected: 1194, Got: 3334
Checksum failed. Expected: b6b0, Got: a1cb
Checksum failed. Expected: 9425, Got: 1063
Checksum failed. Expected: 1873, Got: 7efa
Checksum failed. Expected: b021, Got: ed92
Checksum failed. Expected: 71cd, Got: 5c29
Checksum failed. Expected: 9b4e, Got: cac1
Checksum failed. Expected: 5f38, Got: 3958
Checksum failed. Expected: 0473, Got: a7f0
Checksum failed. Expected: 719b, Got: 1688
Checksum failed. Expected: 08ff, Got: 851f
Checksum failed. Expected: 35b3, Got: f3b7
Checksum failed. Expected: 7673, Got: 624e
Checksum failed. Expected: 8a9e, Got: d0e6
Checksum failed. Expected: a11e, Got: 3f7d
Checksum failed. Expected: 9167, Got: ae15
Checksum failed. Expected: 60e3, Got: 1cac
Checksum failed. Expected: f32a, Got: 8b44
Checksum failed. Expected: 044f, Got: f9db
Checksum failed. Expected: 3b96, Got: 6873
Checksum failed. Expected: da6a, Got: d70b
Checksum failed. Expected: 8e60, Got: 45a2
Checksum failed. Expected: 7221, Got: b43a
Checksum failed. Expected: 6ceb, Got: 22d1
Checksum failed. Expected: 78dc, Got: 9169
Checksum failed. Expected: 99a7, Got: 0000
Checksum failed. Expected: 1ccc, Got: 6e98
Checksum failed. Expected: 2595, Got: dd2f
Checksum failed. Expected: 6ec4, Got: 4bc7
Checksum failed. Expected: 951c, Got: ba5f
Checksum failed. Expected: 240c, Got: 28f6
Checksum failed. Expected: a671, Got: 978e
Checksum failed. Expected: ff6d, Got: 0625
Checksum failed. Expected: 83da, Got: 74bd
Checksum failed. Expected: 1407, Got: e354
Checksum failed. Expected: 0cd4, Got: 51ec
Checksum failed. Expected: 6b30, Got: c083
Checksum failed. Expected: 4883, Got: 2f1b
Checksum failed. Expected: 5879, Got: 9db3
Checksum failed. Expected: 1a47, Got: 0c4a
Checksum failed. Expected: 91dc, Got: 7ae2
Checksum failed. Expected: be9d, Got: e979
Checksum failed. Expected: 2ab6, Got: 5811
Checksum failed. Expected: b248, Got: c6a8
Checksum failed. Expected: 1c59, Got: 3540
Checksum failed. Expected: 7559, Got: a3d7
Checksum failed. Expected: bc80, Got: 126f
Checksum failed. Expected: bca2, Got: 8106
Checksum failed. Expected: d976, Got: ef9e
Checksum failed. Expected: 4272, Got: 5e36
Checksum failed. Expected: fba6, Got: cccd
Checksum failed. Expected: bd93, Got: 3b65
Checksum failed. Expected: 037d, Got: a9fc
Checksum failed. Expected: ad0e, Got: 1894
Checksum failed. Expected: fb52, Got: 872b
Checksum failed. Expected: 0d98, Got: f5c3
Checksum failed. Expected: c1a2, Got: 645a
Checksum failed. Expected: 8049, Got: d2f2
Checksum failed. Expected: db75, Got: 418a
Checksum failed. Expected: 4aa9, Got: b021
Checksum failed. Expected: aa1a, Got: 1eb9
Checksum failed. Expected: e47c, Got: 8d50
Checksum failed. Expected: 5b3c, Got: fbe8
Checksum failed. Expected: 6c68, Got: 6a7f
Checksum failed. Expected: 9d3f, Got: d917
Checksum failed. Expected: 91c1, Got: 47ae
Checksum failed. Expected: 35f6, Got: b646
Checksum failed. Expected: 3622, Got: 24de
Checksum failed. Expected: 77b9, Got: 9375
Checksum failed. Expected: 0d1e, Got: 020d
Checksum failed. Expected: 60ca, Got: 70a4
Checksum failed. Expected: 27fe, Got: df3c
Checksum failed. Expected: edfc, Got: 4dd3
Checksum failed. Expected: 5813, Got: bc6b
Checksum failed. Expected: 6e71, Got: 2b02
Checksum failed. Expected: 72d2, Got: 999a
Checksum failed. Expected: edca, Got: 0832
Checksum failed. Expected: 1510, Got: 76c9
Checksum failed. Expected: 3966, Got: e561
Checksum failed. Expected: f5cc, Got: 53f8
Checksum failed. Expected: 7fa1, Got: c290
Checksum failed. Expected: 26d5, Got: 3127
Checksum failed. Expected: 6cc8, Got: 9fbf
Checksum failed. Expected: 56c6, Got: 0e56
Checksum failed. Expected: 858d, Got: 7cee
Checksum failed. Expected: 258c, Got: eb85
Checksum failed. Expected: 4bdd, Got: 5a1d
Checksum failed. Expected: 655f, Got: c8b5
Checksum failed. Expected: d3a1, Got: 374c
Checksum failed. Expected: 923c, Got: a5e4
Checksum failed. Expected: 5740, Got: 147b
Checksum failed. Expected: 0d5d, Got: 8313
Checksum failed. Expected: d8ae, Got: f1aa
Checksum failed. Expected: 3f95, Got: 6042
Checksum failed. Expected: 8699, Got: ced9
Checksum failed. Expected: 74d6, Got: 3d71
Checksum failed. Expected: c334, Got: ac09
Checksum failed. Expected: c56e, Got: 1aa0
Checksum failed. Expected: 3e55, Got: 8938
Checksum failed. Expected: dd32, Got: f7cf
Checksum failed. Expected: 708d, Got: 6667
Checksum failed. Expected: 0083, Got: d4fe
Checksum failed. Expected: 3c1c, Got: 4396
Checksum failed. Expected: 874c, Got: b22d
Checksum failed. Expected: bb61, Got: 20c5
Checksum failed. Expected: 99af, Got: 8f5d
Checksum failed. Expected: cba2, Got: fdf4
Checksum failed. Expected: 92c9, Got: 6c8c
Checksum failed. Expected: d595, Got: db23
Checksum failed. Expected: 8225, Got: 49bb
Checksum failed. Expected: d6d1, Got: b852
Checksum failed. Expected: 005a, Got: 26ea
Checksum failed. Expected: d638, Got: 9581
Checksum failed. Expected: 3e25, Got: 0419
Checksum failed. Expected: eaa3, Got: 72b0
Checksum failed. Expected: f59b, Got: e148
Checksum failed. Expected: 826f, Got: 4fe0
Checksum failed. Expected: 6c71, Got: be77
Checksum failed. Expected: 3384, Got: 2d0f
Checksum failed. Expected: c494, Got: 9ba6
Checksum failed. Expected: 2743, Got: 0a3e
Checksum failed. Expected: 78d3, Got: 78d5
Checksum failed. Expected: 26a9, Got: e76d
Checksum failed. Expected: 3cfb, Got: 5604
Checksum failed. Expected: 9708, Got: c49c
Checksum failed. Expected: f024, Got: 3334
Checksum failed. Expected: d7dc, Got: a1cb
Checksum failed. Expected: 9591, Got: 1063
Checksum failed. Expected: 029d, Got: 7efa
Checksum failed. Expected: 0417, Got: ed92
Checksum failed. Expected: 0db3, Got: 5c29
Checksum failed. Expected: c4ea, Got: cac1
Checksum failed. Expected: e706, Got: 3958
