
#################################################################
Log started at 2025-06-13_15-59-00 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 3422, Got: 1f5a
Checksum failed. Expected: 4d1c, Got: 1f5a
Checksum failed. Expected: 96f6, Got: 1f5a
Checksum failed. Expected: c9f4, Got: 1f5a
Checksum failed. Expected: 79d4, Got: 1f5a
Checksum failed. Expected: 2696, Got: 1f5a
Checksum failed. Expected: da9e, Got: 1f5a
Checksum failed. Expected: 7dfc, Got: 1f5a
Checksum failed. Expected: 6d5c, Got: 1f5a
Checksum failed. Expected: 4afe, Got: 1f5a
Checksum failed. Expected: 258c, Got: 1f5a
Checksum failed. Expected: 5462, Got: 1f5a
Checksum failed. Expected: 92ce, Got: 1f5a
Checksum failed. Expected: 2696, Got: 1f5a
Checksum failed. Expected: 384a, Got: 1f5a
Checksum failed. Expected: cf30, Got: 1f5a
Checksum failed. Expected: 13d8, Got: 1f5a
Checksum failed. Expected: d462, Got: 1f5a
Checksum failed. Expected: 7184, Got: 1f5a
Checksum failed. Expected: 3f90, Got: 1f5a
Checksum failed. Expected: 682a, Got: 1f5a
Checksum failed. Expected: aff0, Got: 1f5a
Checksum failed. Expected: 9914, Got: 1f5a
Checksum failed. Expected: ed5c, Got: 1f5a
Checksum failed. Expected: bd7c, Got: 1f5a
Checksum failed. Expected: e1e4, Got: 1f5a
Checksum failed. Expected: 74a2, Got: 1f5a
Checksum failed. Expected: 2cd2, Got: 1f5a
Checksum failed. Expected: b318, Got: 1f5a
Checksum failed. Expected: 1d3c, Got: 1f5a
Checksum failed. Expected: 854c, Got: 1f5a
Checksum failed. Expected: 2696, Got: 1f5a
Checksum failed. Expected: 8c92, Got: 1f5a
Checksum failed. Expected: 556c, Got: 1f5a
Checksum failed. Expected: 91c4, Got: 1f5a
Checksum failed. Expected: 4b08, Got: 1f5a
Checksum failed. Expected: 4d1c, Got: 1f5a
Checksum failed. Expected: 0fb0, Got: 1f5a
Checksum failed. Expected: 6b48, Got: 1f5a
Checksum failed. Expected: 3e86, Got: 1f5a
Checksum failed. Expected: f7c0, Got: 1f5a
Checksum failed. Expected: ed5c, Got: 1f5a
Checksum failed. Expected: 1f50, Got: 1f5a
Checksum failed. Expected: a7a0, Got: 1f5a
Checksum failed. Expected: ff10, Got: 1f5a
Checksum failed. Expected: eb48, Got: 1f5a
Checksum failed. Expected: b422, Got: 1f5a
Checksum failed. Expected: 4c12, Got: 1f5a
Checksum failed. Expected: 13d8, Got: 1f5a
Checksum failed. Expected: b636, Got: 1f5a
Checksum failed. Expected: 0d9c, Got: 1f5a
Checksum failed. Expected: 5dbc, Got: 1f5a
Checksum failed. Expected: e720, Got: 1f5a
Checksum failed. Expected: 0c92, Got: 1f5a
Checksum failed. Expected: bd7c, Got: 1f5a
Checksum failed. Expected: cf30, Got: 1f5a
Checksum failed. Expected: b422, Got: 1f5a
Checksum failed. Expected: e0da, Got: 1f5a
Checksum failed. Expected: 0656, Got: 1f5a
Checksum failed. Expected: 0760, Got: 1f5a
