
#################################################################
Log started at 2025-06-13_14-53-58 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: ab5e, Got: 5375
Checksum failed. Expected: 0583, Got: 1e75
Checksum failed. Expected: 5bb8, Got: fd75
Checksum failed. Expected: 3337, Got: a475
Checksum failed. Expected: 1bec, Got: 7175
Checksum failed. Expected: e9b7, Got: 6e75
Checksum failed. Expected: 7995, Got: bc75
Checksum failed. Expected: b1ac, Got: 9b75
Checksum failed. Expected: e372, Got: 2f75
Checksum failed. Expected: bb25, Got: 0a75
Checksum failed. Expected: b5ae, Got: 9975
Checksum failed. Expected: 1305, Got: 9275
Checksum failed. Expected: 5ffb, Got: 3c75
Checksum failed. Expected: 4357, Got: b475
Checksum failed. Expected: ed66, Got: 1975
Checksum failed. Expected: 7b28, Got: 4d75
Checksum failed. Expected: ed1a, Got: cd75
Checksum failed. Expected: 577c, Got: c575
Checksum failed. Expected: 3db5, Got: 1875
Checksum failed. Expected: d53f, Got: 0a75
Checksum failed. Expected: 6199, Got: d875
Checksum failed. Expected: 07c4, Got: 5d75
Checksum failed. Expected: dd97, Got: 5a75
Checksum failed. Expected: cde3, Got: b675
Checksum failed. Expected: 0f21, Got: b275
Checksum failed. Expected: 6f9c, Got: cd75
Checksum failed. Expected: 1f1a, Got: 9b75
Checksum failed. Expected: 8fcf, Got: e075
Checksum failed. Expected: 8db9, Got: cc75
Checksum failed. Expected: ddce, Got: 9175
Checksum failed. Expected: e96b, Got: 2275
Checksum failed. Expected: 9b1b, Got: 2075
Checksum failed. Expected: ad0d, Got: 0075
Checksum failed. Expected: 59ea, Got: 3175
Checksum failed. Expected: f9ee, Got: 9575
Checksum failed. Expected: 5dd8, Got: 1b75
Checksum failed. Expected: 3f35, Got: 9675
Checksum failed. Expected: 4303, Got: 6075
Checksum failed. Expected: 693f, Got: 7675
Checksum failed. Expected: 2766, Got: df75
Checksum failed. Expected: c9ff, Got: d675
Checksum failed. Expected: cb4b, Got: 2075
Checksum failed. Expected: 1181, Got: 1075
Checksum failed. Expected: 11e6, Got: 7575
Checksum failed. Expected: 8544, Got: 5f75
Checksum failed. Expected: f7fc, Got: a575
Checksum failed. Expected: 03ec, Got: 8975
Checksum failed. Expected: 95e8, Got: f375
Checksum failed. Expected: 6d4a, Got: 7d75
Checksum failed. Expected: bf71, Got: 5275
Checksum failed. Expected: adbd, Got: b075
Checksum failed. Expected: f9b6, Got: 5d75
Checksum failed. Expected: 4726, Got: 7f75
Checksum failed. Expected: 792a, Got: 5175
Checksum failed. Expected: ddc1, Got: 8475
Checksum failed. Expected: 5786, Got: cf75
Checksum failed. Expected: 9b6a, Got: 6f75
Checksum failed. Expected: dd91, Got: 5475
Checksum failed. Expected: c36c, Got: 4975
Checksum failed. Expected: e3e4, Got: a175
Checksum failed. Expected: d3c0, Got: 8d75
Checksum failed. Expected: 0d04, Got: 9775
Checksum failed. Expected: 39b1, Got: 1875
Checksum failed. Expected: 0192, Got: 3175
Checksum failed. Expected: e5b3, Got: 6e75
Checksum failed. Expected: 31c4, Got: 3375
Checksum failed. Expected: e5b2, Got: 6d75
