
#################################################################
Log started at 2025-06-13_16-01-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 5194, Got: 0942
Checksum failed. Expected: ae2d, Got: 0942
Checksum failed. Expected: 2acf, Got: 0942
Checksum failed. Expected: 3bad, Got: 0942
Checksum failed. Expected: 00cb, Got: 0942
Checksum failed. Expected: 64d9, Got: 0942
Checksum failed. Expected: c26b, Got: 0942
Checksum failed. Expected: 9651, Got: 0942
Checksum failed. Expected: 9ead, Got: 0942
Checksum failed. Expected: 182f, Got: 0942
Checksum failed. Expected: 6d4d, Got: 0942
Checksum failed. Expected: b03c, Got: 0942
Checksum failed. Expected: 6987, Got: 0942
Checksum failed. Expected: 2508, Got: 0942
Checksum failed. Expected: 9901, Got: 0942
Checksum failed. Expected: d37d, Got: 0942
Checksum failed. Expected: 2acf, Got: 0942
Checksum failed. Expected: e53e, Got: 0942
Checksum failed. Expected: dd79, Got: 0942
Checksum failed. Expected: 63a7, Got: 0942
Checksum failed. Expected: 48ac, Got: 0942
Checksum failed. Expected: 095f, Got: 0942
Checksum failed. Expected: 4c4e, Got: 0942
Checksum failed. Expected: 6d27, Got: 0942
Checksum failed. Expected: 48b9, Got: 0942
Checksum failed. Expected: 6227, Got: 0942
Checksum failed. Expected: dda5, Got: 0942
Checksum failed. Expected: 5807, Got: 0942
Checksum failed. Expected: dbdd, Got: 0942
Checksum failed. Expected: 2feb, Got: 0942
Checksum failed. Expected: 2fc7, Got: 0942
Checksum failed. Expected: 11c9, Got: 0942
Checksum failed. Expected: 75d7, Got: 0942
Checksum failed. Expected: 7046, Got: 0942
Checksum failed. Expected: 8214, Got: 0942
Checksum failed. Expected: c60d, Got: 0942
Checksum failed. Expected: 629b, Got: 0942
Checksum failed. Expected: 89e7, Got: 0942
Checksum failed. Expected: 89ba, Got: 0942
Checksum failed. Expected: 0db5, Got: 0942
Checksum failed. Expected: 82d3, Got: 0942
Checksum failed. Expected: 0184, Got: 0942
Checksum failed. Expected: b79d, Got: 0942
Checksum failed. Expected: d87b, Got: 0942
Checksum failed. Expected: 7e9a, Got: 0942
Checksum failed. Expected: 05d3, Got: 0942
Checksum failed. Expected: bd35, Got: 0942
Checksum failed. Expected: fd03, Got: 0942
Checksum failed. Expected: 3ba4, Got: 0942
Checksum failed. Expected: 5e7e, Got: 0942
Checksum failed. Expected: 4059, Got: 0942
Checksum failed. Expected: 5137, Got: 0942
Checksum failed. Expected: 8003, Got: 0942
Checksum failed. Expected: 4db5, Got: 0942
Checksum failed. Expected: 00b3, Got: 0942
Checksum failed. Expected: 4b15, Got: 0942
Checksum failed. Expected: 711b, Got: 0942
Checksum failed. Expected: 5529, Got: 0942
Checksum failed. Expected: a0a7, Got: 0942
Checksum failed. Expected: 2f73, Got: 0942
Checksum failed. Expected: aaf6, Got: 0942
Checksum failed. Expected: 4561, Got: 0942
Checksum failed. Expected: 13f6, Got: 0942
Checksum failed. Expected: d399, Got: 0942
Checksum failed. Expected: 0037, Got: 0942
Checksum failed. Expected: 7546, Got: 0942
Checksum failed. Expected: 4611, Got: 0942
Checksum failed. Expected: 67fd, Got: 0942
Checksum failed. Expected: 05bf, Got: 0942
Checksum failed. Expected: 6690, Got: 0942
Checksum failed. Expected: 21f9, Got: 0942
Checksum failed. Expected: 7d78, Got: 0942
Checksum failed. Expected: b9f3, Got: 0942
Checksum failed. Expected: a251, Got: 0942
Checksum failed. Expected: f33d, Got: 0942
Checksum failed. Expected: d75f, Got: 0942
Checksum failed. Expected: 8601, Got: 0942
Checksum failed. Expected: bbf7, Got: 0942
Checksum failed. Expected: 3f05, Got: 0942
Checksum failed. Expected: c1f3, Got: 0942
Checksum failed. Expected: 2a51, Got: 0942
