
#################################################################
Log started at 2025-06-13_17-04-07 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=1.896388, Y=8.195111, Z=-5.189032 m/s^2 Time of Week: 464665.594000, Week Number: 2370
Acceleration: X=1.880010, Y=8.203270, Z=-5.181101 m/s^2 Time of Week: 464665.595000, Week Number: 2370
Acceleration: X=1.867116, Y=8.219938, Z=-5.169215 m/s^2 Time of Week: 464665.596000, Week Number: 2370
Acceleration: X=1.856000, Y=8.242254, Z=-5.155000 m/s^2 Time of Week: 464665.597000, Week Number: 2370
Acceleration: X=1.849757, Y=8.257637, Z=-5.150689 m/s^2 Time of Week: 464665.598000, Week Number: 2370
Acceleration: X=1.840629, Y=8.271398, Z=-5.141044 m/s^2 Time of Week: 464665.599000, Week Number: 2370
Acceleration: X=1.829392, Y=8.288460, Z=-5.136509 m/s^2 Time of Week: 464665.600000, Week Number: 2370
Acceleration: X=1.814509, Y=8.310817, Z=-5.133625 m/s^2 Time of Week: 464665.601000, Week Number: 2370
Acceleration: X=1.799662, Y=8.330863, Z=-5.132507 m/s^2 Time of Week: 464665.602000, Week Number: 2370
Acceleration: X=1.797491, Y=8.343024, Z=-5.131366 m/s^2 Time of Week: 464665.603000, Week Number: 2370
Acceleration: X=1.796580, Y=8.351445, Z=-5.131525 m/s^2 Time of Week: 464665.604000, Week Number: 2370
Acceleration: X=1.787267, Y=8.352142, Z=-5.136553 m/s^2 Time of Week: 464665.605000, Week Number: 2370
Acceleration: X=1.784940, Y=8.338178, Z=-5.139558 m/s^2 Time of Week: 464665.606000, Week Number: 2370
Acceleration: X=1.790232, Y=8.323336, Z=-5.148878 m/s^2 Time of Week: 464665.607000, Week Number: 2370
Acceleration: X=1.794199, Y=8.307459, Z=-5.153810 m/s^2 Time of Week: 464665.608000, Week Number: 2370
