
#################################################################
Log started at 2025-06-12_16-20-09 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: aafc, Got: 8d50
Checksum failed. Expected: 0b88, Got: fbe8
Checksum failed. Expected: cc54, Got: 6a7f
Checksum failed. Expected: fc1d, Got: d917
Checksum failed. Expected: bee3, Got: 47ae
Checksum failed. Expected: 71ea, Got: b646
Checksum failed. Expected: d256, Got: 24de
Checksum failed. Expected: a0a3, Got: 9375
Checksum failed. Expected: d4ac, Got: 020d
Checksum failed. Expected: f380, Got: 70a4
Checksum failed. Expected: 4ecc, Got: df3c
Checksum failed. Expected: ea7e, Got: 4dd3
Checksum failed. Expected: c8df, Got: bc6b
Checksum failed. Expected: 2957, Got: 2b02
Checksum failed. Expected: 8cea, Got: 999a
Checksum failed. Expected: 4546, Got: 0832
Checksum failed. Expected: 3efa, Got: 76c9
Checksum failed. Expected: b912, Got: e561
Checksum failed. Expected: ae96, Got: 53f8
Checksum failed. Expected: c84b, Got: c290
Checksum failed. Expected: 387d, Got: 3127
Checksum failed. Expected: 4228, Got: 9fbf
Checksum failed. Expected: c368, Got: 0e56
Checksum failed. Expected: 7bad, Got: 7cee
Checksum failed. Expected: 8de8, Got: eb85
Checksum failed. Expected: 78ff, Got: 5a1d
Checksum failed. Expected: 9bff, Got: c8b5
Checksum failed. Expected: ea8f, Got: 374c
Checksum failed. Expected: 7228, Got: a5e4
Checksum failed. Expected: 8eee, Got: 147b
Checksum failed. Expected: fe37, Got: 8313
Checksum failed. Expected: ff7c, Got: f1aa
Checksum failed. Expected: fda5, Got: 6042
Checksum failed. Expected: ce35, Got: ced9
Checksum failed. Expected: cf7c, Got: 3d71
Checksum failed. Expected: 1bb0, Got: ac09
Checksum failed. Expected: 9f06, Got: 1aa0
Checksum failed. Expected: f93b, Got: 8938
Checksum failed. Expected: 4372, Got: f7cf
Checksum failed. Expected: a0d9, Got: 6667
Checksum failed. Expected: 0bc9, Got: d4fe
Checksum failed. Expected: 9f32, Got: 4396
