
#################################################################
Log started at 2025-06-12_16-19-23 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: e6e8, Got: d0e6
Checksum failed. Expected: 248a, Got: 3f7d
Checksum failed. Expected: 0501, Got: ae15
Checksum failed. Expected: 4173, Got: 1cac
Checksum failed. Expected: 4e66, Got: 8b44
Checksum failed. Expected: 75bf, Got: f9db
Checksum failed. Expected: 488e, Got: 6873
Checksum failed. Expected: 2b1a, Got: d70b
Checksum failed. Expected: df10, Got: 45a2
Checksum failed. Expected: d8f7, Got: b43a
Checksum failed. Expected: d0a5, Got: 22d1
Checksum failed. Expected: 29cc, Got: 9169
Checksum failed. Expected: d42d, Got: 0000
Checksum failed. Expected: a284, Got: 6e98
Checksum failed. Expected: 4e37, Got: dd2f
Checksum failed. Expected: 7152, Got: 4bc7
Checksum failed. Expected: c304, Got: ba5f
Checksum failed. Expected: 50d8, Got: 28f6
Checksum failed. Expected: e655, Got: 978e
Checksum failed. Expected: 623b, Got: 0625
Checksum failed. Expected: 7bce, Got: 74bd
Checksum failed. Expected: ef65, Got: e354
Checksum failed. Expected: db8a, Got: 51ec
Checksum failed. Expected: c9b8, Got: c083
Checksum failed. Expected: 1739, Got: 2f1b
Checksum failed. Expected: 1209, Got: 9db3
Checksum failed. Expected: 52bb, Got: 0c4a
Checksum failed. Expected: ce96, Got: 7ae2
Checksum failed. Expected: 4aa9, Got: e979
Checksum failed. Expected: a8fe, Got: 5811
Checksum failed. Expected: a2cc, Got: c6a8
Checksum failed. Expected: 41c3, Got: 3540
Checksum failed. Expected: b0f7, Got: a3d7
Checksum failed. Expected: eea0, Got: 126f
Checksum failed. Expected: 180e, Got: 8106
Checksum failed. Expected: 679e, Got: ef9e
Checksum failed. Expected: 1344, Got: 5e36
Checksum failed. Expected: 51be, Got: cccd
Checksum failed. Expected: 9d37, Got: 3b65
Checksum failed. Expected: 2293, Got: a9fc
Checksum failed. Expected: ab56, Got: 1894
Checksum failed. Expected: d9da, Got: 872b
Checksum failed. Expected: 1350, Got: f5c3
Checksum failed. Expected: e4f0, Got: 645a
Checksum failed. Expected: 587d, Got: d2f2
Checksum failed. Expected: 6aab, Got: 418a
Checksum failed. Expected: bb3b, Got: b021
Checksum failed. Expected: b950, Got: 1eb9
Checksum failed. Expected: 63d2, Got: 8d50
Checksum failed. Expected: a6ba, Got: fbe8
Checksum failed. Expected: 7a90, Got: 6a7f
Checksum failed. Expected: 6f1f, Got: d917
Checksum failed. Expected: b301, Got: 47ae
Checksum failed. Expected: 5952, Got: b646
Checksum failed. Expected: 82ae, Got: 24de
Checksum failed. Expected: 3581, Got: 9375
Checksum failed. Expected: b396, Got: 020d
Checksum failed. Expected: ae72, Got: 70a4
Checksum failed. Expected: 1782, Got: df3c
Checksum failed. Expected: 7d40, Got: 4dd3
Checksum failed. Expected: 01b5, Got: bc6b
Checksum failed. Expected: f20d, Got: 2b02
Checksum failed. Expected: 00fa, Got: 999a
Checksum failed. Expected: c4f0, Got: 0832
Checksum failed. Expected: 7398, Got: 76c9
Checksum failed. Expected: 18fc, Got: e561
Checksum failed. Expected: 6cb2, Got: 53f8
Checksum failed. Expected: 6d09, Got: c290
Checksum failed. Expected: a1f3, Got: 3127
Checksum failed. Expected: 9bbe, Got: 9fbf
Checksum failed. Expected: 5300, Got: 0e56
Checksum failed. Expected: 0f7d, Got: 7cee
Checksum failed. Expected: d158, Got: eb85
Checksum failed. Expected: c925, Got: 5a1d
Checksum failed. Expected: dd53, Got: c8b5
Checksum failed. Expected: 76ef, Got: 374c
Checksum failed. Expected: e0e4, Got: a5e4
Checksum failed. Expected: 8852, Got: 147b
Checksum failed. Expected: 5c13, Got: 8313
Checksum failed. Expected: f27e, Got: f1aa
