
#################################################################
Log started at 2025-06-12_16-20-22 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: bc9e, Got: 7613
Checksum failed. Expected: 119c, Got: f0aa
Checksum failed. Expected: 762b, Got: eeb4
Checksum failed. Expected: 779f, Got: f0f9
Checksum failed. Expected: 81b4, Got: 795c
Checksum failed. Expected: 35ac, Got: 6dbb
Checksum failed. Expected: 20d1, Got: dc5b
Checksum failed. Expected: d21f, Got: d97d
Checksum failed. Expected: 75b8, Got: 5cdc
Checksum failed. Expected: 9039, Got: ecd7
Checksum failed. Expected: fbb3, Got: edff
Checksum failed. Expected: 54a9, Got: e6b3
Checksum failed. Expected: 1d4d, Got: e903
Checksum failed. Expected: 89b2, Got: eab5
Checksum failed. Expected: 9147, Got: ee8c
Checksum failed. Expected: f0e0, Got: 7536
Checksum failed. Expected: f38e, Got: fafa
Checksum failed. Expected: 0b66, Got: ed9e
Checksum failed. Expected: 2e3e, Got: 7404
Checksum failed. Expected: ec89, Got: 7ce8
Checksum failed. Expected: f94a, Got: 7809
Checksum failed. Expected: f3ad, Got: 7d01
Checksum failed. Expected: 5bea, Got: 42e9
Checksum failed. Expected: 4daa, Got: 0899
Checksum failed. Expected: 8046, Got: 9c45
Checksum failed. Expected: 3e05, Got: a163
Checksum failed. Expected: 16b1, Got: 0f62
Checksum failed. Expected: 19ff, Got: 8ebe
Checksum failed. Expected: 1dcd, Got: a01a
Checksum failed. Expected: e2a1, Got: 1f53
Checksum failed. Expected: 57fd, Got: a79a
Checksum failed. Expected: 847b, Got: 1853
Checksum failed. Expected: 07c8, Got: 17be
Checksum failed. Expected: da17, Got: 9574
Checksum failed. Expected: 01c4, Got: 1373
Checksum failed. Expected: dacc, Got: 27be
Checksum failed. Expected: 60de, Got: a854
Checksum failed. Expected: 6b6c, Got: a399
Checksum failed. Expected: 9a7a, Got: 3468
Checksum failed. Expected: e2b7, Got: 416c
Checksum failed. Expected: 80bd, Got: 3006
Checksum failed. Expected: a164, Got: a056
Checksum failed. Expected: cdca, Got: 1957
Checksum failed. Expected: b1f7, Got: a2f5
Checksum failed. Expected: ba35, Got: a59e
Checksum failed. Expected: 197b, Got: b57c
Checksum failed. Expected: c5dc, Got: 33fd
Checksum failed. Expected: 25dc, Got: 2a42
Checksum failed. Expected: f168, Got: a846
Checksum failed. Expected: dae1, Got: 28e4
Checksum failed. Expected: c1f7, Got: 2a36
Checksum failed. Expected: d6be, Got: a71c
Checksum failed. Expected: 0e4e, Got: 2642
Checksum failed. Expected: e085, Got: 2a23
Checksum failed. Expected: f8a6, Got: acd9
Checksum failed. Expected: 9382, Got: 2845
Checksum failed. Expected: 0995, Got: a33b
Checksum failed. Expected: 8c9f, Got: 29d8
Checksum failed. Expected: 99ab, Got: 283e
Checksum failed. Expected: 96fe, Got: 2ae6
Checksum failed. Expected: 2a45, Got: ac44
Checksum failed. Expected: 472c, Got: 3441
Checksum failed. Expected: 1048, Got: 363a
Checksum failed. Expected: 10e8, Got: 2edf
Checksum failed. Expected: cfeb, Got: 2640
Checksum failed. Expected: bb72, Got: 21d9
Checksum failed. Expected: f34a, Got: 1ede
Checksum failed. Expected: 470c, Got: 207e
Checksum failed. Expected: e1d7, Got: a566
Checksum failed. Expected: 8bb5, Got: 1e64
Checksum failed. Expected: d4f4, Got: 1eb6
Checksum failed. Expected: 044d, Got: 25e5
Checksum failed. Expected: c5f9, Got: 2111
Checksum failed. Expected: 518a, Got: 9235
Checksum failed. Expected: 8191, Got: 89ec
Checksum failed. Expected: 9a99, Got: 04a2
Checksum failed. Expected: 0710, Got: 77ef
Checksum failed. Expected: f3dc, Got: f2b5
Checksum failed. Expected: dc05, Got: e658
Checksum failed. Expected: 9f59, Got: ec25
Checksum failed. Expected: 00e1, Got: f455
Checksum failed. Expected: d23e, Got: f81f
Checksum failed. Expected: 45ad, Got: fc1b
Checksum failed. Expected: 5d00, Got: f78b
Checksum failed. Expected: 1158, Got: bafd
Checksum failed. Expected: 94fd, Got: 3c63
Checksum failed. Expected: 6a85, Got: b96f
Checksum failed. Expected: dbf7, Got: 7bed
Checksum failed. Expected: c5e9, Got: fe54
Checksum failed. Expected: dc6b, Got: fdc5
Checksum failed. Expected: 908a, Got: f714
Checksum failed. Expected: 29bb, Got: b77d
Checksum failed. Expected: 68b3, Got: baed
Checksum failed. Expected: 1d31, Got: bbb3
Checksum failed. Expected: debf, Got: 371b
Checksum failed. Expected: be5a, Got: beb5
Checksum failed. Expected: d6bf, Got: 47e4
Checksum failed. Expected: d079, Got: 8b52
Checksum failed. Expected: fa7b, Got: 897c
Checksum failed. Expected: 4d1f, Got: 0107
Checksum failed. Expected: 691d, Got: c0a8
Checksum failed. Expected: 10fa, Got: 0159
Checksum failed. Expected: 999c, Got: 80f8
Checksum failed. Expected: a014, Got: 878c
Checksum failed. Expected: 949e, Got: 4774
Checksum failed. Expected: 1a25, Got: 0534
Checksum failed. Expected: d403, Got: 4869
Checksum failed. Expected: 04a7, Got: 932e
Checksum failed. Expected: 2f08, Got: c856
Checksum failed. Expected: fa7a, Got: 89a4
Checksum failed. Expected: 9d22, Got: 9458
Checksum failed. Expected: 7325, Got: 98f2
Checksum failed. Expected: ad08, Got: 14a2
Checksum failed. Expected: ee01, Got: 90f3
Checksum failed. Expected: a3b9, Got: 1bae
Checksum failed. Expected: dee7, Got: 96ed
Checksum failed. Expected: 3e45, Got: 86cb
Checksum failed. Expected: 4bab, Got: 8148
Checksum failed. Expected: 580e, Got: 0646
Checksum failed. Expected: 34fe, Got: 0d07
Checksum failed. Expected: 66d3, Got: 9254
Checksum failed. Expected: d24f, Got: 16a1
Checksum failed. Expected: a1e5, Got: 994d
