
#################################################################
Log started at 2025-06-12_16-19-14 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: 0fe3, Got: 5054
Checksum failed. Expected: ea8b, Got: 19d7
Checksum failed. Expected: c603, Got: 1e35
Checksum failed. Expected: f5b9, Got: 0e2e
Checksum failed. Expected: ba20, Got: 0f37
Checksum failed. Expected: 4f10, Got: 0d4f
Checksum failed. Expected: 44af, Got: d12e
Checksum failed. Expected: 08f7, Got: 4d78
Checksum failed. Expected: 3c61, Got: 89c6
Checksum failed. Expected: 4ae0, Got: 0ae5
Checksum failed. Expected: 0c4f, Got: 09d9
Checksum failed. Expected: 5a15, Got: 10a7
Checksum failed. Expected: c0c1, Got: 1182
Checksum failed. Expected: 6a86, Got: 870c
Checksum failed. Expected: b62b, Got: c417
Checksum failed. Expected: 56ed, Got: 872d
Checksum failed. Expected: f44a, Got: ca40
Checksum failed. Expected: 130f, Got: 0abe
Checksum failed. Expected: a9b2, Got: 11de
Checksum failed. Expected: 9ee7, Got: 8c1a
Checksum failed. Expected: 4dc1, Got: 8d00
Checksum failed. Expected: 8114, Got: 8882
Checksum failed. Expected: 9fe5, Got: 81b6
Checksum failed. Expected: 8459, Got: 8c7f
Checksum failed. Expected: ebf9, Got: 945d
Checksum failed. Expected: d474, Got: 0c0c
Checksum failed. Expected: 300d, Got: fdc1
Checksum failed. Expected: 899e, Got: fc62
Checksum failed. Expected: e331, Got: 8bb8
Checksum failed. Expected: a903, Got: 91a5
Checksum failed. Expected: 55a7, Got: 898b
Checksum failed. Expected: 037e, Got: 00f0
Checksum failed. Expected: 8928, Got: 0821
Checksum failed. Expected: a51b, Got: 09ed
Checksum failed. Expected: de3f, Got: 0838
Checksum failed. Expected: 90df, Got: 84fd
Checksum failed. Expected: a623, Got: 81f4
Checksum failed. Expected: 5640, Got: 8e3e
Checksum failed. Expected: 07d2, Got: 948e
Checksum failed. Expected: 316d, Got: 8fa5
Checksum failed. Expected: a8f0, Got: 841f
Checksum failed. Expected: b45c, Got: c76a
Checksum failed. Expected: f819, Got: 9273
Checksum failed. Expected: ee67, Got: 11ca
Checksum failed. Expected: 0d47, Got: 86f9
Checksum failed. Expected: 2402, Got: 0554
Checksum failed. Expected: d02e, Got: 82f5
Checksum failed. Expected: c5e9, Got: 879a
Checksum failed. Expected: 0422, Got: 06db
Checksum failed. Expected: ccc0, Got: 466a
Checksum failed. Expected: 53f9, Got: c9ca
Checksum failed. Expected: f2b0, Got: 8e93
Checksum failed. Expected: 1209, Got: 4904
Checksum failed. Expected: fe15, Got: c57b
Checksum failed. Expected: 4a7d, Got: 8089
Checksum failed. Expected: af62, Got: 405d
Checksum failed. Expected: 5ae4, Got: c30a
Checksum failed. Expected: 9d6b, Got: ca4b
Checksum failed. Expected: abea, Got: 1357
Checksum failed. Expected: 3f95, Got: cfa9
Checksum failed. Expected: 2ba2, Got: 0816
Checksum failed. Expected: ba59, Got: 8782
Checksum failed. Expected: 39a5, Got: 0dae
Checksum failed. Expected: a191, Got: 4d10
Checksum failed. Expected: 9b47, Got: 0c6d
Checksum failed. Expected: f110, Got: 891d
Checksum failed. Expected: 76c8, Got: 077a
Checksum failed. Expected: 01dd, Got: 475d
Checksum failed. Expected: ef10, Got: 0891
Checksum failed. Expected: 04c2, Got: 849a
Checksum failed. Expected: 8af4, Got: 1142
Checksum failed. Expected: 1aa7, Got: 0b38
Checksum failed. Expected: a998, Got: 0424
Checksum failed. Expected: 6c1a, Got: 082c
Checksum failed. Expected: c79f, Got: 15e1
Checksum failed. Expected: 32c4, Got: 471a
Checksum failed. Expected: f752, Got: 896b
Checksum failed. Expected: 2e2c, Got: 0a78
Checksum failed. Expected: 05b9, Got: 0f84
Checksum failed. Expected: abe7, Got: 90cf
Checksum failed. Expected: 32dc, Got: 9b6b
Checksum failed. Expected: 089c, Got: 9b0a
Checksum failed. Expected: e3f3, Got: 227e
Checksum failed. Expected: bcff, Got: a070
Checksum failed. Expected: acf8, Got: 8d7f
Checksum failed. Expected: 9c7c, Got: 9e0a
Checksum failed. Expected: 1855, Got: 1c26
Checksum failed. Expected: 24c9, Got: 957b
Checksum failed. Expected: a04c, Got: 9b9e
Checksum failed. Expected: 574c, Got: 1de0
Checksum failed. Expected: 0419, Got: 9656
Checksum failed. Expected: 2107, Got: 88f5
Checksum failed. Expected: 7aa1, Got: 8b36
Checksum failed. Expected: 01cc, Got: 0d4b
Checksum failed. Expected: 792b, Got: 89e1
Checksum failed. Expected: f524, Got: 15f5
Checksum failed. Expected: 1697, Got: 94c8
Checksum failed. Expected: 5929, Got: 9fb8
Checksum failed. Expected: 2707, Got: 154a
Checksum failed. Expected: 6ef1, Got: 895c
Checksum failed. Expected: b23a, Got: 0e72
Checksum failed. Expected: ffd4, Got: 0ee0
Checksum failed. Expected: 789f, Got: 0575
Checksum failed. Expected: 03b8, Got: 8419
Checksum failed. Expected: 8546, Got: 0794
Checksum failed. Expected: bfe1, Got: 01ca
Checksum failed. Expected: b259, Got: 86c2
Checksum failed. Expected: e8e1, Got: 15d4
Checksum failed. Expected: 2f88, Got: 0f03
Checksum failed. Expected: 18eb, Got: 8a29
Checksum failed. Expected: 423e, Got: 099d
Checksum failed. Expected: f732, Got: 49fc
Checksum failed. Expected: 04b4, Got: c75a
Checksum failed. Expected: 7a9f, Got: 0724
Checksum failed. Expected: 8dbb, Got: 1702
Checksum failed. Expected: c8a6, Got: 8e67
Checksum failed. Expected: 4c1e, Got: 901f
Checksum failed. Expected: 6fd4, Got: 1bee
Checksum failed. Expected: a3d1, Got: 4e8b
