
#################################################################
Log started at 2025-06-12_15-12-53 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 2da3, Got: 0000
Checksum failed. Expected: a443, Got: 0000
Checksum failed. Expected: dae7, Got: 0000
Checksum failed. Expected: 33b3, Got: 0000
Checksum failed. Expected: 662d, Got: 0000
Checksum failed. Expected: 4f2d, Got: 0000
Checksum failed. Expected: 7b32, Got: 0000
Checksum failed. Expected: eea9, Got: 0000
Checksum failed. Expected: f775, Got: 0000
Checksum failed. Expected: aaec, Got: 0000
Checksum failed. Expected: 44fd, Got: 0000
Checksum failed. Expected: 5772, Got: 0000
Checksum failed. Expected: ce38, Got: 0000
Checksum failed. Expected: d3ec, Got: 0000
Checksum failed. Expected: 8aad, Got: 0000
Checksum failed. Expected: 6beb, Got: 0000
Checksum failed. Expected: a4d2, Got: 0000
Checksum failed. Expected: 185f, Got: 0000
Checksum failed. Expected: f67a, Got: 0000
Checksum failed. Expected: d187, Got: 0000
Checksum failed. Expected: 8c8b, Got: 0000
Checksum failed. Expected: 5de8, Got: 0000
Checksum failed. Expected: 2f38, Got: 0000
Checksum failed. Expected: c2af, Got: 0000
Checksum failed. Expected: 8caf, Got: 0000
Checksum failed. Expected: eb03, Got: 0000
Checksum failed. Expected: 8c43, Got: 0000
Checksum failed. Expected: e517, Got: 0000
Checksum failed. Expected: c333, Got: 0000
Checksum failed. Expected: a9dd, Got: 0000
Checksum failed. Expected: 394d, Got: 0000
Checksum failed. Expected: 3002, Got: 0000
Checksum failed. Expected: cf39, Got: 0000
Checksum failed. Expected: c085, Got: 0000
Checksum failed. Expected: 1eac, Got: 0000
Checksum failed. Expected: e8bd, Got: 0000
Checksum failed. Expected: ef72, Got: 0000
Checksum failed. Expected: beb8, Got: 0000
Checksum failed. Expected: 225c, Got: 0000
Checksum failed. Expected: a7fd, Got: 0000
Checksum failed. Expected: f1cb, Got: 0000
Checksum failed. Expected: 2342, Got: 0000
Checksum failed. Expected: 849f, Got: 0000
Checksum failed. Expected: 61aa, Got: 0000
Checksum failed. Expected: 2437, Got: 0000
Checksum failed. Expected: 58cb, Got: 0000
Checksum failed. Expected: 8098, Got: 0000
Checksum failed. Expected: 0408, Got: 0000
Checksum failed. Expected: 799f, Got: 0000
Checksum failed. Expected: 15bf, Got: 0000
Checksum failed. Expected: 4853, Got: 0000
Checksum failed. Expected: c993, Got: 0000
Checksum failed. Expected: 0f37, Got: 0000
Checksum failed. Expected: 3193, Got: 0000
Checksum failed. Expected: 71dd, Got: 0000
Checksum failed. Expected: bd0d, Got: 0000
Checksum failed. Expected: 06e2, Got: 0000
Checksum failed. Expected: 2a69, Got: 0000
Checksum failed. Expected: 3115, Got: 0000
Checksum failed. Expected: 626c, Got: 0000
Checksum failed. Expected: f2dd, Got: 0000
Checksum failed. Expected: fee2, Got: 0000
Checksum failed. Expected: 35a8, Got: 0000
Checksum failed. Expected: 44fc, Got: 0000
Checksum failed. Expected: 811d, Got: 0000
Checksum failed. Expected: 9f2b, Got: 0000
Checksum failed. Expected: c5e2, Got: 0000
Checksum failed. Expected: 396f, Got: 0000
Checksum failed. Expected: 478a, Got: 0000
Checksum failed. Expected: 3f67, Got: 0000
Checksum failed. Expected: d3fb, Got: 0000
Checksum failed. Expected: 1458, Got: 0000
Checksum failed. Expected: 3e28, Got: 0000
Checksum failed. Expected: 680f, Got: 0000
Checksum failed. Expected: edbf, Got: 0000
Checksum failed. Expected: b8d3, Got: 0000
Checksum failed. Expected: ef73, Got: 0000
