
#################################################################
Log started at 2025-06-12_14-15-55 
#################################################################
IMU Initialization Failed!IMU initialized succesfully
PPS Initialization Failed!PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 98e3, Got: 0004
Checksum failed. Expected: a145, Got: 25a1
Checksum failed. Expected: c27c, Got: da74
Acceleration: X=0.019418, Y=0.025581, Z=9.798855 m/s^2 Time of Week: 1516.292000, Week Number: 0
Acceleration: X=0.017300, Y=0.025425, Z=9.801503 m/s^2 Time of Week: 1516.302000, Week Number: 0
Acceleration: X=0.015615, Y=0.031630, Z=9.807060 m/s^2 Time of Week: 1516.312000, Week Number: 0
Acceleration: X=0.011342, Y=0.036643, Z=9.802631 m/s^2 Time of Week: 1516.322000, Week Number: 0
Acceleration: X=0.009568, Y=0.029663, Z=9.812743 m/s^2 Time of Week: 1516.332000, Week Number: 0
Acceleration: X=0.009077, Y=0.031080, Z=9.805137 m/s^2 Time of Week: 1516.342000, Week Number: 0
Acceleration: X=0.010169, Y=0.029136, Z=9.805775 m/s^2 Time of Week: 1516.352000, Week Number: 0
Acceleration: X=0.016810, Y=0.027613, Z=9.796766 m/s^2 Time of Week: 1516.362000, Week Number: 0
Acceleration: X=0.019379, Y=0.019123, Z=9.800311 m/s^2 Time of Week: 1516.372000, Week Number: 0
Acceleration: X=0.018970, Y=0.020563, Z=9.804884 m/s^2 Time of Week: 1516.382000, Week Number: 0
Acceleration: X=0.019363, Y=0.020197, Z=9.797512 m/s^2 Time of Week: 1516.392000, Week Number: 0
Acceleration: X=0.015895, Y=0.025199, Z=9.802939 m/s^2 Time of Week: 1516.402000, Week Number: 0
Acceleration: X=0.011812, Y=0.022649, Z=9.807636 m/s^2 Time of Week: 1516.412000, Week Number: 0
Acceleration: X=0.011015, Y=0.030288, Z=9.805898 m/s^2 Time of Week: 1516.422000, Week Number: 0
Acceleration: X=0.013222, Y=0.025890, Z=9.809054 m/s^2 Time of Week: 1516.432000, Week Number: 0
Acceleration: X=0.010150, Y=0.029336, Z=9.806334 m/s^2 Time of Week: 1516.442000, Week Number: 0
Acceleration: X=0.015241, Y=0.026348, Z=9.810045 m/s^2 Time of Week: 1516.452000, Week Number: 0
Acceleration: X=0.020174, Y=0.025464, Z=9.805041 m/s^2 Time of Week: 1516.462000, Week Number: 0
Acceleration: X=0.021269, Y=0.018865, Z=9.804284 m/s^2 Time of Week: 1516.472000, Week Number: 0
Acceleration: X=0.015023, Y=0.021625, Z=9.800880 m/s^2 Time of Week: 1516.482000, Week Number: 0
Acceleration: X=0.016499, Y=0.032042, Z=9.804222 m/s^2 Time of Week: 1516.492000, Week Number: 0
Acceleration: X=0.011994, Y=0.023907, Z=9.799645 m/s^2 Time of Week: 1516.502000, Week Number: 0
Acceleration: X=0.016043, Y=0.023523, Z=9.807536 m/s^2 Time of Week: 1516.512000, Week Number: 0
Acceleration: X=0.011418, Y=0.027171, Z=9.806420 m/s^2 Time of Week: 1516.522000, Week Number: 0
Acceleration: X=0.009491, Y=0.028770, Z=9.806726 m/s^2 Time of Week: 1516.532000, Week Number: 0
