
#################################################################
Log started at 2025-06-12_16-32-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 0324, Got: 0a3e
Checksum failed. Expected: 0c54, Got: 2f1b
Checksum failed. Expected: 73bd, Got: 53f8
Checksum failed. Expected: 298c, Got: 78d5
Checksum failed. Expected: 0cbd, Got: 9db3
Checksum failed. Expected: 14e1, Got: c290
Checksum failed. Expected: 139a, Got: e76d
Checksum failed. Expected: 79dc, Got: 0c4a
Checksum failed. Expected: 280a, Got: 3127
Checksum failed. Expected: 14b9, Got: 5604
Checksum failed. Expected: 17aa, Got: 7ae2
Checksum failed. Expected: c604, Got: 9fbf
Checksum failed. Expected: faa3, Got: c49c
Checksum failed. Expected: 4692, Got: e979
Checksum failed. Expected: e5fe, Got: 0e56
Checksum failed. Expected: ed20, Got: 3334
Checksum failed. Expected: 8632, Got: 5811
Checksum failed. Expected: 96d9, Got: 7cee
Checksum failed. Expected: 63ea, Got: a1cb
Checksum failed. Expected: 0047, Got: c6a8
Checksum failed. Expected: b81e, Got: eb86
Checksum failed. Expected: e42d, Got: 1063
Checksum failed. Expected: 3115, Got: 3540
Checksum failed. Expected: 9662, Got: 5a1d
Checksum failed. Expected: 7fe7, Got: 7efa
Checksum failed. Expected: 34a8, Got: a3d7
Checksum failed. Expected: 81a5, Got: c8b5
Checksum failed. Expected: a443, Got: ed92
Checksum failed. Expected: bd5b, Got: 126f
Checksum failed. Expected: 1807, Got: 374c
Checksum failed. Expected: 83a8, Got: 5c29
Checksum failed. Expected: 88b5, Got: 8107
Checksum failed. Expected: e255, Got: a5e4
Checksum failed. Expected: 58a4, Got: cac1
Checksum failed. Expected: cdd1, Got: ef9e
Checksum failed. Expected: 08c5, Got: 147b
Checksum failed. Expected: 8ba1, Got: 3958
Checksum failed. Expected: f534, Got: 5e36
Checksum failed. Expected: 0900, Got: 8313
Checksum failed. Expected: 89c7, Got: a7f0
Checksum failed. Expected: 78b4, Got: cccd
Checksum failed. Expected: c06b, Got: f1aa
Checksum failed. Expected: 6747, Got: 1688
Checksum failed. Expected: 9ee8, Got: 3b65
Checksum failed. Expected: d06b, Got: 6042
Checksum failed. Expected: 2e56, Got: 851f
Checksum failed. Expected: 5431, Got: a9fc
Checksum failed. Expected: d3fe, Got: ced9
Checksum failed. Expected: 1cc3, Got: f3b7
Checksum failed. Expected: 1e7a, Got: 1894
Checksum failed. Expected: af04, Got: 3d71
Checksum failed. Expected: ec21, Got: 624e
Checksum failed. Expected: 4d36, Got: 872b
Checksum failed. Expected: 9c4f, Got: ac09
Checksum failed. Expected: 85c1, Got: d0e6
Checksum failed. Expected: 8bf0, Got: f5c3
Checksum failed. Expected: 8556, Got: 1aa0
Checksum failed. Expected: 7528, Got: 3f7d
Checksum failed. Expected: d859, Got: 645b
Checksum failed. Expected: c71f, Got: 8938
Checksum failed. Expected: a942, Got: ae15
Checksum failed. Expected: 0511, Got: d2f2
Checksum failed. Expected: 05ec, Got: f7cf
Checksum failed. Expected: fe44, Got: 1cac
Checksum failed. Expected: 2950, Got: 418a
Checksum failed. Expected: ac2e, Got: 6667
Checksum failed. Expected: 476f, Got: 8b44
Checksum failed. Expected: 43fe, Got: b021
Checksum failed. Expected: 6bf5, Got: d4fe
Checksum failed. Expected: 6f08, Got: f9dc
Checksum failed. Expected: b691, Got: 1eb9
Checksum failed. Expected: a771, Got: 4396
Checksum failed. Expected: 3d6c, Got: 6873
Checksum failed. Expected: f75f, Got: 8d50
Checksum failed. Expected: 14bc, Got: b22d
Checksum failed. Expected: 4fbd, Got: d70b
Checksum failed. Expected: 66b3, Got: fbe8
Checksum failed. Expected: b3b7, Got: 20c5
Checksum failed. Expected: 61ed, Got: 45a2
Checksum failed. Expected: 550c, Got: 6a7f
Checksum failed. Expected: cc55, Got: 8f5d
Checksum failed. Expected: 1507, Got: b43a
Checksum failed. Expected: 28d8, Got: d917
