
#################################################################
Log started at 2025-06-13_16-01-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: e99f, Got: 0942
Checksum failed. Expected: 6a91, Got: 0942
Checksum failed. Expected: 172f, Got: 0942
Checksum failed. Expected: 3080, Got: 0942
Checksum failed. Expected: 946a, Got: 0942
Checksum failed. Expected: f1f5, Got: 0942
Checksum failed. Expected: 5503, Got: 0942
Checksum failed. Expected: 4e6f, Got: 0942
Checksum failed. Expected: 9f61, Got: 0942
Checksum failed. Expected: c8bf, Got: 0942
Checksum failed. Expected: 8211, Got: 0942
Checksum failed. Expected: 36f7, Got: 0942
Checksum failed. Expected: a4a5, Got: 0942
Checksum failed. Expected: 0cf3, Got: 0942
Checksum failed. Expected: 488f, Got: 0942
Checksum failed. Expected: bfd2, Got: 0942
Checksum failed. Expected: fb4d, Got: 0942
Checksum failed. Expected: 1b02, Got: 0942
Checksum failed. Expected: a655, Got: 0942
Checksum failed. Expected: a953, Got: 0942
Checksum failed. Expected: 0e62, Got: 0942
