
#################################################################
Log started at 2025-06-13_14-54-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 63cb, Got: 0875
Checksum failed. Expected: 9f0f, Got: 1075
Checksum failed. Expected: b914, Got: fb75
Checksum failed. Expected: f179, Got: 2875
Checksum failed. Expected: 6552, Got: 8d75
Checksum failed. Expected: 591b, Got: 6275
Checksum failed. Expected: d58c, Got: 5775
Checksum failed. Expected: fda9, Got: 4c75
Checksum failed. Expected: 95af, Got: ba75
Checksum failed. Expected: 3f0f, Got: 7075
Checksum failed. Expected: a9fe, Got: f575
Checksum failed. Expected: a9e3, Got: da75
Checksum failed. Expected: 4bf5, Got: 4a75
Checksum failed. Expected: 834c, Got: 6975
Checksum failed. Expected: 9dbe, Got: c175
Checksum failed. Expected: 71bb, Got: ea75
Checksum failed. Expected: 615c, Got: 9b75
Checksum failed. Expected: ffe6, Got: 8775
Checksum failed. Expected: 49ab, Got: 0275
Checksum failed. Expected: a3a8, Got: a575
Checksum failed. Expected: 278a, Got: 0375
Checksum failed. Expected: a11a, Got: 1975
Checksum failed. Expected: d372, Got: 3f75
Checksum failed. Expected: f959, Got: 0075
Checksum failed. Expected: d3f8, Got: c575
Checksum failed. Expected: 39c7, Got: 2e75
Checksum failed. Expected: ebbc, Got: 7175
Checksum failed. Expected: c5e6, Got: c175
Checksum failed. Expected: b7f4, Got: dd75
Checksum failed. Expected: d3a1, Got: 6e75
