
#################################################################
Log started at 2025-06-12_16-32-43 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: fc6a, Got: c864
Checksum failed. Expected: 7d96, Got: c4d2
Checksum failed. Expected: fc53, Got: c8ed
Checksum failed. Expected: ea41, Got: 3b19
Checksum failed. Expected: 3ed0, Got: 41d7
Checksum failed. Expected: 2c78, Got: 3ffa
Checksum failed. Expected: a13b, Got: b809
Checksum failed. Expected: 8266, Got: 33e3
Checksum failed. Expected: ebcf, Got: c0e8
Checksum failed. Expected: 5273, Got: 415e
Checksum failed. Expected: f1e3, Got: 3eb4
Checksum failed. Expected: 71c0, Got: c0ac
Checksum failed. Expected: 4e5d, Got: 4471
Checksum failed. Expected: 4889, Got: 48dc
Checksum failed. Expected: 5044, Got: 557e
Checksum failed. Expected: 4c72, Got: d0f7
Checksum failed. Expected: f62d, Got: 46e6
Checksum failed. Expected: 34bc, Got: 4304
Checksum failed. Expected: 6ae6, Got: b996
Checksum failed. Expected: f22e, Got: b7a4
Checksum failed. Expected: b13b, Got: be81
Checksum failed. Expected: 3953, Got: 452a
Checksum failed. Expected: 297b, Got: cc97
Checksum failed. Expected: e008, Got: 4a71
Checksum failed. Expected: 34fb, Got: be26
Checksum failed. Expected: 670f, Got: 3396
Checksum failed. Expected: 730b, Got: 3466
Checksum failed. Expected: f498, Got: b20e
Checksum failed. Expected: c219, Got: 3b46
Checksum failed. Expected: b681, Got: c17d
Checksum failed. Expected: bed9, Got: c764
Checksum failed. Expected: 5bb4, Got: c4f2
Checksum failed. Expected: 54f0, Got: b600
Checksum failed. Expected: 2154, Got: b7e4
Checksum failed. Expected: ad74, Got: 2d03
Checksum failed. Expected: 9ed8, Got: 2b8f
Checksum failed. Expected: bc5f, Got: 3b83
Checksum failed. Expected: 5fee, Got: 46e8
Checksum failed. Expected: b044, Got: bf5f
Checksum failed. Expected: f74f, Got: baa8
Checksum failed. Expected: ef6b, Got: bde6
Checksum failed. Expected: 7f1f, Got: 3d7d
Checksum failed. Expected: 3bee, Got: 30d9
Checksum failed. Expected: 7678, Got: ba04
Checksum failed. Expected: ddd6, Got: 304f
Checksum failed. Expected: 5115, Got: 386f
Checksum failed. Expected: ad00, Got: 4c3e
Checksum failed. Expected: 3d9b, Got: 55b1
Checksum failed. Expected: 2793, Got: 4b78
Checksum failed. Expected: 2564, Got: 3762
Checksum failed. Expected: 3617, Got: b001
Checksum failed. Expected: 3564, Got: b5f4
Checksum failed. Expected: b70e, Got: c5f8
Checksum failed. Expected: d2a9, Got: bcbe
Checksum failed. Expected: ce09, Got: 3fd8
Checksum failed. Expected: a914, Got: 45f9
Checksum failed. Expected: fc1e, Got: 4981
Checksum failed. Expected: d7cf, Got: cbe2
Checksum failed. Expected: d608, Got: 4db8
Checksum failed. Expected: 99ea, Got: c91e
Checksum failed. Expected: b953, Got: c20c
Checksum failed. Expected: b767, Got: 4143
Checksum failed. Expected: f258, Got: 4078
Checksum failed. Expected: 8d83, Got: c3cd
Checksum failed. Expected: 3a7c, Got: c4a0
Checksum failed. Expected: 5d86, Got: c3f4
Checksum failed. Expected: 176b, Got: 3ca9
