
#################################################################
Log started at 2025-06-13_14-54-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: fa52, Got: d793
Checksum failed. Expected: 387d, Got: e386
Checksum failed. Expected: 00a2, Got: ef85
Checksum failed. Expected: 9056, Got: cae2
Checksum failed. Expected: 1f23, Got: b8ef
Checksum failed. Expected: 7782, Got: df04
Checksum failed. Expected: 224a, Got: eb2f
Checksum failed. Expected: 68d4, Got: dbe3
Checksum failed. Expected: 04af, Got: 05ce
Checksum failed. Expected: ef47, Got: 2e74
Checksum failed. Expected: 2aae, Got: 2f02
Checksum failed. Expected: 0c44, Got: 3834
Checksum failed. Expected: 465e, Got: 3755
Checksum failed. Expected: b4e4, Got: 464c
Checksum failed. Expected: 3416, Got: 651b
Checksum failed. Expected: aa6c, Got: 6fca
Checksum failed. Expected: 0e99, Got: 4dfc
Checksum failed. Expected: 5a54, Got: 39a9
Checksum failed. Expected: 9757, Got: 4cd2
Checksum failed. Expected: 7e58, Got: 57a5
Checksum failed. Expected: ce69, Got: 1779
Checksum failed. Expected: 13dc, Got: 1d69
Checksum failed. Expected: 8d63, Got: 5586
Checksum failed. Expected: a742, Got: 8d58
Checksum failed. Expected: 4593, Got: b30c
Checksum failed. Expected: 48fe, Got: 88c7
Checksum failed. Expected: 6317, Got: 6f71
Checksum failed. Expected: 95c0, Got: 752e
Checksum failed. Expected: 9e52, Got: 7393
Checksum failed. Expected: 90fd, Got: 5afb
Checksum failed. Expected: c45f, Got: 640c
Checksum failed. Expected: 9b9c, Got: af0f
Checksum failed. Expected: 7e5f, Got: b23b
Checksum failed. Expected: 16f5, Got: 8b82
Checksum failed. Expected: aaf1, Got: 5dc5
Checksum failed. Expected: c7a2, Got: 406f
Checksum failed. Expected: fd24, Got: 3635
Checksum failed. Expected: 4a86, Got: 39dc
Checksum failed. Expected: 7f6e, Got: 4cfd
Checksum failed. Expected: 689d, Got: 7011
Checksum failed. Expected: 770c, Got: 6f59
Checksum failed. Expected: cb41, Got: 59d0
Checksum failed. Expected: 2566, Got: 5198
Checksum failed. Expected: 3901, Got: 52d0
Checksum failed. Expected: 260a, Got: 5634
Checksum failed. Expected: 5d39, Got: 5a13
Checksum failed. Expected: 59f8, Got: 4eb7
Checksum failed. Expected: 0d35, Got: 3cd7
Checksum failed. Expected: 0cac, Got: 4acf
Checksum failed. Expected: 22a6, Got: 664f
Checksum failed. Expected: 8e02, Got: 8845
Checksum failed. Expected: 55f6, Got: 9c70
Checksum failed. Expected: 996f, Got: 7fdf
Checksum failed. Expected: 7e4e, Got: 7008
Checksum failed. Expected: 629f, Got: 53c8
Checksum failed. Expected: 9c57, Got: 4d03
Checksum failed. Expected: d38f, Got: 78dd
Checksum failed. Expected: 0d62, Got: 7a4f
Checksum failed. Expected: 8d3b, Got: 7dc0
Checksum failed. Expected: 0333, Got: 754e
Checksum failed. Expected: c131, Got: 6d4e
Checksum failed. Expected: 4911, Got: 718d
Checksum failed. Expected: 8f7e, Got: 75a8
Checksum failed. Expected: 5e36, Got: 91d6
Checksum failed. Expected: 11aa, Got: 98b9
Checksum failed. Expected: 1fdc, Got: 8858
Checksum failed. Expected: d26c, Got: 874d
Checksum failed. Expected: f6ce, Got: 83fb
Checksum failed. Expected: fea2, Got: 7d49
Checksum failed. Expected: 069e, Got: 87d8
Checksum failed. Expected: 093c, Got: 7829
Checksum failed. Expected: 6329, Got: 7a6c
Checksum failed. Expected: 617f, Got: 6ee6
Checksum failed. Expected: f3db, Got: 1731
Checksum failed. Expected: 8e40, Got: f5ee
Checksum failed. Expected: 39a6, Got: fce4
Checksum failed. Expected: 547f, Got: 13bb
Checksum failed. Expected: f19e, Got: 2258
Checksum failed. Expected: b9e5, Got: 353a
Checksum failed. Expected: 1526, Got: 1b73
Checksum failed. Expected: 5c02, Got: 1b6b
Checksum failed. Expected: f9cc, Got: fa02
Checksum failed. Expected: 7436, Got: c168
