
#################################################################
Log started at 2025-06-12_16-18-36 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: ce18, Got: 74bd
Checksum failed. Expected: 30b3, Got: e354
Checksum failed. Expected: 4840, Got: 51ec
Checksum failed. Expected: a79c, Got: c083
Checksum failed. Expected: 0a43, Got: 2f1b
Checksum failed. Expected: 13d7, Got: 9db3
Checksum failed. Expected: 8fd1, Got: 0c4a
Checksum failed. Expected: 6cfa, Got: 7ae2
Checksum failed. Expected: 4415, Got: e979
Checksum failed. Expected: 5a7a, Got: 5811
Checksum failed. Expected: 4de6, Got: c6a8
Checksum failed. Expected: ebcf, Got: 3540
Checksum failed. Expected: 0edb, Got: a3d7
Checksum failed. Expected: ca68, Got: 126f
Checksum failed. Expected: bdd4, Got: 8106
Checksum failed. Expected: 4bd6, Got: ef9e
Checksum failed. Expected: f77c, Got: 5e36
Checksum failed. Expected: 5c18, Got: cccd
Checksum failed. Expected: 87c3, Got: 3b65
Checksum failed. Expected: 28a7, Got: a9fc
Checksum failed. Expected: 6542, Got: 1894
Checksum failed. Expected: 17fe, Got: 872b
Checksum failed. Expected: 865a, Got: f5c3
Checksum failed. Expected: 4e7c, Got: 645a
Checksum failed. Expected: 6a39, Got: d2f2
Checksum failed. Expected: 7b59, Got: 418a
Checksum failed. Expected: 83eb, Got: b021
Checksum failed. Expected: 35d8, Got: 1eb9
Checksum failed. Expected: f048, Got: 8d50
Checksum failed. Expected: c1f4, Got: fbe8
Checksum failed. Expected: 27c6, Got: 6a7f
Checksum failed. Expected: a2a9, Got: d917
Checksum failed. Expected: d165, Got: 47ae
Checksum failed. Expected: ac9c, Got: b646
Checksum failed. Expected: b42a, Got: 24de
Checksum failed. Expected: 6f6d, Got: 9375
Checksum failed. Expected: e2e8, Got: 020d
Checksum failed. Expected: c9ac, Got: 70a4
Checksum failed. Expected: 5aec, Got: df3c
Checksum failed. Expected: 1226, Got: 4dd3
Checksum failed. Expected: 61b5, Got: bc6b
Checksum failed. Expected: 819f, Got: 2b02
Checksum failed. Expected: 180a, Got: 999a
Checksum failed. Expected: 2b52, Got: 0831
Checksum failed. Expected: 65a7, Got: 76c9
Checksum failed. Expected: affe, Got: e561
Checksum failed. Expected: c76c, Got: 53f8
Checksum failed. Expected: feb7, Got: c290
Checksum failed. Expected: fec9, Got: 3127
Checksum failed. Expected: e36e, Got: 9fbf
Checksum failed. Expected: 0cde, Got: 0e56
Checksum failed. Expected: 9e0f, Got: 7cee
Checksum failed. Expected: 5118, Got: eb85
Checksum failed. Expected: 754d, Got: 5a1d
Checksum failed. Expected: 56b1, Got: c8b5
Checksum failed. Expected: c71d, Got: 374c
Checksum failed. Expected: a132, Got: a5e4
Checksum failed. Expected: 0f74, Got: 147b
Checksum failed. Expected: 061f, Got: 8313
Checksum failed. Expected: dc0a, Got: f1aa
Checksum failed. Expected: 9ff9, Got: 6042
Checksum failed. Expected: 6e6d, Got: ced9
Checksum failed. Expected: 25a8, Got: 3d71
Checksum failed. Expected: 25b4, Got: ac09
Checksum failed. Expected: e98a, Got: 1aa0
Checksum failed. Expected: e59b, Got: 8938
Checksum failed. Expected: 52bc, Got: f7cf
Checksum failed. Expected: fc59, Got: 6667
Checksum failed. Expected: 7c6f, Got: d4fe
Checksum failed. Expected: cc20, Got: 4396
Checksum failed. Expected: 920a, Got: b22d
Checksum failed. Expected: 7e2f, Got: 20c5
Checksum failed. Expected: b993, Got: 8f5d
Checksum failed. Expected: d552, Got: fdf4
Checksum failed. Expected: 0b8b, Got: 6c8c
Checksum failed. Expected: e053, Got: db23
Checksum failed. Expected: a0ed, Got: 49bb
