
#################################################################
Log started at 2025-06-13_16-01-36 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: e122, Got: bd80
Checksum failed. Expected: ff4d, Got: bd80
Checksum failed. Expected: e98e, Got: bd7f
Checksum failed. Expected: 927d, Got: bd80
Checksum failed. Expected: bbf8, Got: bd80
Checksum failed. Expected: 4653, Got: bd7f
Checksum failed. Expected: cb70, Got: bd7f
Checksum failed. Expected: ba46, Got: bd7f
Checksum failed. Expected: 24b6, Got: bd7e
Checksum failed. Expected: 45c5, Got: bd80
Checksum failed. Expected: 00d7, Got: bd81
Checksum failed. Expected: ece3, Got: bd80
Checksum failed. Expected: 439d, Got: bd80
Checksum failed. Expected: a777, Got: bd80
Checksum failed. Expected: cf7f, Got: bd80
Checksum failed. Expected: 7d7c, Got: bd7e
Checksum failed. Expected: 928b, Got: bd79
Checksum failed. Expected: 0fc6, Got: bd7a
Checksum failed. Expected: 7f6a, Got: bd7d
Checksum failed. Expected: 8c09, Got: bd7d
Checksum failed. Expected: 0a1c, Got: bd7c
Checksum failed. Expected: 8056, Got: bd7f
Checksum failed. Expected: a74e, Got: bd80
Checksum failed. Expected: c48c, Got: bd7f
Checksum failed. Expected: 4c7f, Got: bd7f
Checksum failed. Expected: 4a4a, Got: bd80
Checksum failed. Expected: 602f, Got: bd7e
Checksum failed. Expected: af2e, Got: bd7c
Checksum failed. Expected: 069f, Got: bd7c
Checksum failed. Expected: 50d8, Got: bd7d
Checksum failed. Expected: 01c7, Got: bd7e
Checksum failed. Expected: 893d, Got: bd7e
Checksum failed. Expected: 4a41, Got: bd7f
Checksum failed. Expected: 4da4, Got: bd80
Checksum failed. Expected: d68b, Got: bd81
Checksum failed. Expected: 688d, Got: bd80
Checksum failed. Expected: b80d, Got: bd80
Checksum failed. Expected: dfcb, Got: bd7b
Checksum failed. Expected: b42c, Got: bd7f
Checksum failed. Expected: 4b15, Got: bd81
Checksum failed. Expected: add7, Got: bd7f
Checksum failed. Expected: 34dd, Got: bd7f
Checksum failed. Expected: e7e3, Got: bd7d
Checksum failed. Expected: c0dd, Got: bd80
Checksum failed. Expected: 6bd1, Got: bd82
Checksum failed. Expected: 8e03, Got: bd81
Checksum failed. Expected: f6dd, Got: bd80
Checksum failed. Expected: f0e1, Got: bd80
Checksum failed. Expected: aaf7, Got: bd7f
Checksum failed. Expected: de60, Got: bd7f
Checksum failed. Expected: 1a9a, Got: bd7f
Checksum failed. Expected: 0a63, Got: bd80
Checksum failed. Expected: 544d, Got: bd80
Checksum failed. Expected: e02f, Got: bd81
Checksum failed. Expected: 8452, Got: bd81
Checksum failed. Expected: 3d89, Got: bd82
Checksum failed. Expected: e87c, Got: bd81
Checksum failed. Expected: 931c, Got: bd81
Checksum failed. Expected: a231, Got: bd82
Checksum failed. Expected: 1cc9, Got: bd82
Checksum failed. Expected: eae0, Got: bd82
Checksum failed. Expected: 6805, Got: bd83
Checksum failed. Expected: 1e78, Got: bd83
Checksum failed. Expected: 299d, Got: bd82
Checksum failed. Expected: 6f04, Got: bd82
Checksum failed. Expected: 66ed, Got: bd83
Checksum failed. Expected: 952a, Got: bd81
Checksum failed. Expected: 6397, Got: bd81
Checksum failed. Expected: c93e, Got: bd81
Checksum failed. Expected: a519, Got: bd81
Checksum failed. Expected: b120, Got: bd81
Checksum failed. Expected: be85, Got: bd7f
Checksum failed. Expected: 193d, Got: bd7f
Checksum failed. Expected: 99fb, Got: bd80
Checksum failed. Expected: a9c1, Got: bd81
Checksum failed. Expected: 7aa2, Got: bd80
Checksum failed. Expected: 4541, Got: bd7d
Checksum failed. Expected: d992, Got: bd7f
Checksum failed. Expected: b29a, Got: bd81
Checksum failed. Expected: 35e5, Got: bd81
Checksum failed. Expected: 587d, Got: bd81
Checksum failed. Expected: 6923, Got: bd80
Checksum failed. Expected: 4ba3, Got: bd7f
Checksum failed. Expected: ff04, Got: bd7f
Checksum failed. Expected: e58f, Got: bd80
Checksum failed. Expected: a18a, Got: bd80
Checksum failed. Expected: 03ae, Got: bd7f
Checksum failed. Expected: 921b, Got: bd7e
Checksum failed. Expected: 6ab2, Got: bd7f
Checksum failed. Expected: e31c, Got: bd7f
Checksum failed. Expected: d38c, Got: bd7f
Checksum failed. Expected: 2f4d, Got: bd80
Checksum failed. Expected: de35, Got: bd81
Checksum failed. Expected: 46dc, Got: bd81
Checksum failed. Expected: dad2, Got: bd80
Checksum failed. Expected: 89ef, Got: bd7f
Checksum failed. Expected: d7dc, Got: bd80
Checksum failed. Expected: df1b, Got: bd7f
Checksum failed. Expected: 9edb, Got: bd80
Checksum failed. Expected: 618d, Got: bd7f
Checksum failed. Expected: 50d8, Got: bd7f
Checksum failed. Expected: 7661, Got: bd7e
Checksum failed. Expected: 16a8, Got: bd7e
Checksum failed. Expected: 406e, Got: bd80
Checksum failed. Expected: db06, Got: bd7f
Checksum failed. Expected: c7c2, Got: bd7e
Checksum failed. Expected: 2a43, Got: bd7d
Checksum failed. Expected: 3eeb, Got: bd7e
Checksum failed. Expected: 8bf4, Got: bd80
Checksum failed. Expected: fb4e, Got: bd7f
Checksum failed. Expected: ccff, Got: bd7e
Checksum failed. Expected: a5b2, Got: bd7f
Checksum failed. Expected: eb3d, Got: bd80
Checksum failed. Expected: 6c2b, Got: bd7d
Checksum failed. Expected: 02f9, Got: bd7b
Checksum failed. Expected: c34c, Got: bd7d
Checksum failed. Expected: 7769, Got: bd7f
Checksum failed. Expected: 956b, Got: bd7f
Checksum failed. Expected: 3391, Got: bd7e
Checksum failed. Expected: 4fb3, Got: bd7e
Checksum failed. Expected: 0836, Got: bd7e
Checksum failed. Expected: bbcd, Got: bd80
Checksum failed. Expected: 14d9, Got: bd80
Checksum failed. Expected: 61ae, Got: bd80
Checksum failed. Expected: 1bd6, Got: bd80
Checksum failed. Expected: 66d5, Got: bd80
Checksum failed. Expected: bbc2, Got: bd7e
Checksum failed. Expected: 1017, Got: bd7e
Checksum failed. Expected: 8275, Got: bd7c
Checksum failed. Expected: 6e82, Got: bd7d
Checksum failed. Expected: 391f, Got: bd80
Checksum failed. Expected: e12c, Got: bd81
Checksum failed. Expected: 10c7, Got: bd81
Checksum failed. Expected: 5814, Got: bd80
Checksum failed. Expected: 9ed2, Got: bd80
Checksum failed. Expected: ff76, Got: bd80
Checksum failed. Expected: d94b, Got: bd7f
Checksum failed. Expected: 7a61, Got: bd7e
Checksum failed. Expected: ad86, Got: bd80
Checksum failed. Expected: 4c45, Got: bd80
Checksum failed. Expected: d2f1, Got: bd80
Checksum failed. Expected: a8f2, Got: bd80
Checksum failed. Expected: c1dc, Got: bd7f
Checksum failed. Expected: a800, Got: bd80
Checksum failed. Expected: 19ea, Got: bd7b
Checksum failed. Expected: f580, Got: bd79
Checksum failed. Expected: 3455, Got: bd7f
Checksum failed. Expected: 340a, Got: bd80
Checksum failed. Expected: 5ec9, Got: bd80
Checksum failed. Expected: e481, Got: bd7f
Checksum failed. Expected: 78e0, Got: bd7d
Checksum failed. Expected: fced, Got: bd7d
Checksum failed. Expected: caac, Got: bd7f
Checksum failed. Expected: 0ebf, Got: bd81
Checksum failed. Expected: e8bb, Got: bd80
Checksum failed. Expected: 4432, Got: bd7b
Checksum failed. Expected: b7aa, Got: bd7d
Checksum failed. Expected: 9846, Got: bd80
Checksum failed. Expected: bf9d, Got: bd80
Checksum failed. Expected: b297, Got: bd7f
Checksum failed. Expected: 95e6, Got: bd81
Checksum failed. Expected: 5b11, Got: bd81
Checksum failed. Expected: a3ed, Got: bd82
Checksum failed. Expected: de42, Got: bd80
Checksum failed. Expected: ff0d, Got: bd81
Checksum failed. Expected: 4073, Got: bd80
Checksum failed. Expected: 1417, Got: bd81
Checksum failed. Expected: d788, Got: bd83
Checksum failed. Expected: 71d4, Got: bd81
Checksum failed. Expected: c85c, Got: bd81
Checksum failed. Expected: 9da4, Got: bd82
Checksum failed. Expected: 94f2, Got: bd83
Checksum failed. Expected: 57d1, Got: bd82
Checksum failed. Expected: c6ca, Got: bd82
Checksum failed. Expected: 25cc, Got: bd83
Checksum failed. Expected: a3e8, Got: bd82
Checksum failed. Expected: a3e4, Got: bd82
Checksum failed. Expected: 908f, Got: bd82
Checksum failed. Expected: 5663, Got: bd81
Checksum failed. Expected: eee3, Got: bd82
Checksum failed. Expected: ce02, Got: bd82
Checksum failed. Expected: 915c, Got: bd82
Checksum failed. Expected: dbfc, Got: bd81
Checksum failed. Expected: 9443, Got: bd80
Checksum failed. Expected: 6fdd, Got: bd81
Checksum failed. Expected: 6354, Got: bd7f
Checksum failed. Expected: d400, Got: bd7d
Checksum failed. Expected: 0061, Got: bd7d
Checksum failed. Expected: 01e4, Got: bd7e
Checksum failed. Expected: 838b, Got: bd80
Checksum failed. Expected: 685c, Got: bd81
Checksum failed. Expected: aed8, Got: bd81
Checksum failed. Expected: 1c32, Got: bd80
Checksum failed. Expected: 502f, Got: bd7e
Checksum failed. Expected: 3e38, Got: bd7d
Checksum failed. Expected: 819a, Got: bd7d
Checksum failed. Expected: 1da0, Got: bd7d
Checksum failed. Expected: e7a4, Got: bd7e
Checksum failed. Expected: 0670, Got: bd80
Checksum failed. Expected: ca76, Got: bd7f
Checksum failed. Expected: cd02, Got: bd7f
Checksum failed. Expected: 2b4d, Got: bd7f
Checksum failed. Expected: 2c2f, Got: bd7f
Checksum failed. Expected: 1677, Got: bd80
Checksum failed. Expected: 92be, Got: bd80
Checksum failed. Expected: ce82, Got: bd81
Checksum failed. Expected: 3c1a, Got: bd80
Checksum failed. Expected: 0839, Got: bd7f
Checksum failed. Expected: 67fa, Got: bd7f
Checksum failed. Expected: b8bd, Got: bd81
Checksum failed. Expected: 78a7, Got: bd81
Checksum failed. Expected: 2b8d, Got: bd80
Checksum failed. Expected: 927a, Got: bd7f
Checksum failed. Expected: 9f7e, Got: bd80
Checksum failed. Expected: f48e, Got: bd81
Checksum failed. Expected: aaa0, Got: bd81
