
#################################################################
Log started at 2025-06-12_15-58-51 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 8fc7, Got: b3e4
Checksum failed. Expected: f65b, Got: 315d
Checksum failed. Expected: 9604, Got: 3344
Checksum failed. Expected: 4803, Got: 332f
Checksum failed. Expected: 5abd, Got: 3570
Checksum failed. Expected: a0ba, Got: 3104
Checksum failed. Expected: c525, Got: accc
Checksum failed. Expected: 261c, Got: af55
Checksum failed. Expected: ad07, Got: 3868
Checksum failed. Expected: 94c6, Got: affa
Checksum failed. Expected: 0e0e, Got: b0bc
Checksum failed. Expected: 03a0, Got: ade4
Checksum failed. Expected: 2a2a, Got: acb4
Checksum failed. Expected: 821d, Got: 2f13
Checksum failed. Expected: a110, Got: aef1
Checksum failed. Expected: 4a44, Got: b0fc
Checksum failed. Expected: 3393, Got: b1f4
Checksum failed. Expected: adbe, Got: 26d4
Checksum failed. Expected: 4c7b, Got: a4c5
Checksum failed. Expected: 2f96, Got: 235e
Checksum failed. Expected: 8c1d, Got: 1e12
Checksum failed. Expected: 17cc, Got: 257f
Checksum failed. Expected: 1cee, Got: b1cc
Checksum failed. Expected: 7fb2, Got: 33a2
Checksum failed. Expected: b47d, Got: 357a
Checksum failed. Expected: 0004, Got: a931
Checksum failed. Expected: 901c, Got: 26a6
Checksum failed. Expected: ed3e, Got: b483
Checksum failed. Expected: bf85, Got: 3abb
Checksum failed. Expected: 9a68, Got: 325b
Checksum failed. Expected: e0f5, Got: 2d1f
Checksum failed. Expected: 4ebd, Got: 28b3
Checksum failed. Expected: 7d12, Got: 2eb3
Checksum failed. Expected: 3638, Got: b955
Checksum failed. Expected: 85b8, Got: 32c6
Checksum failed. Expected: 33e3, Got: 2a00
Checksum failed. Expected: 44d9, Got: 317a
Checksum failed. Expected: bc45, Got: b33a
Checksum failed. Expected: 1744, Got: b561
Checksum failed. Expected: e558, Got: 337e
Checksum failed. Expected: 17a4, Got: 2de2
Checksum failed. Expected: 4dd0, Got: 2a81
Checksum failed. Expected: fd2f, Got: 3056
Checksum failed. Expected: cd64, Got: b448
Checksum failed. Expected: b61f, Got: 36eb
Checksum failed. Expected: cb38, Got: 3186
Checksum failed. Expected: c16f, Got: afda
Checksum failed. Expected: 590c, Got: 2d03
Checksum failed. Expected: 2eb0, Got: 2bea
Checksum failed. Expected: 1724, Got: a729
Checksum failed. Expected: 5e2a, Got: ae13
Checksum failed. Expected: f889, Got: baab
Checksum failed. Expected: 3041, Got: b57a
Checksum failed. Expected: bbd6, Got: 33aa
Checksum failed. Expected: 892b, Got: b425
Checksum failed. Expected: 0428, Got: b951
Checksum failed. Expected: c5d6, Got: b970
Checksum failed. Expected: 2db7, Got: b077
Checksum failed. Expected: bce2, Got: 30f5
Checksum failed. Expected: b589, Got: 31b9
Checksum failed. Expected: f191, Got: 2cc1
Checksum failed. Expected: 187a, Got: 280d
Checksum failed. Expected: 3deb, Got: 2f83
Checksum failed. Expected: 0cd8, Got: aeba
Checksum failed. Expected: cd05, Got: a9bd
Checksum failed. Expected: 648d, Got: 1dc6
Checksum failed. Expected: e9e4, Got: a6ed
Checksum failed. Expected: 97c7, Got: ac78
Checksum failed. Expected: 27ba, Got: 2bdc
Checksum failed. Expected: 402a, Got: 2a0b
Checksum failed. Expected: 6fc8, Got: 2d79
Checksum failed. Expected: a2b0, Got: 3d3f
Checksum failed. Expected: ab23, Got: 3a44
Checksum failed. Expected: e891, Got: 3bf6
Checksum failed. Expected: c65b, Got: 354d
Checksum failed. Expected: db01, Got: 29ad
Checksum failed. Expected: bd53, Got: a3f8
Checksum failed. Expected: 19c0, Got: 2c5a
Checksum failed. Expected: 9338, Got: a5b7
Checksum failed. Expected: 32a6, Got: b415
Checksum failed. Expected: d89e, Got: 31ea
Checksum failed. Expected: 50cb, Got: 2be6
Checksum failed. Expected: 0753, Got: a8b7
Checksum failed. Expected: 8375, Got: ac2c
Checksum failed. Expected: f45c, Got: 293b
Checksum failed. Expected: f4c6, Got: 2b2f
Checksum failed. Expected: 1f7c, Got: 255c
Checksum failed. Expected: 402e, Got: 23a5
Checksum failed. Expected: 50f8, Got: a93e
Checksum failed. Expected: 17ac, Got: 311e
Checksum failed. Expected: 412b, Got: 2d89
Checksum failed. Expected: b629, Got: a706
Checksum failed. Expected: 131e, Got: a72a
Checksum failed. Expected: 094a, Got: a8b7
Checksum failed. Expected: 7f87, Got: 9cd0
Checksum failed. Expected: 928e, Got: a16b
Checksum failed. Expected: 5aa0, Got: 355a
Checksum failed. Expected: 6f04, Got: a7fe
Checksum failed. Expected: 1017, Got: 247f
Checksum failed. Expected: 6183, Got: 257f
Checksum failed. Expected: 68c8, Got: 2c5c
Checksum failed. Expected: b6f0, Got: 2a64
Checksum failed. Expected: 3c8a, Got: 2757
Checksum failed. Expected: ee1b, Got: b12b
Checksum failed. Expected: 5704, Got: bc58
Checksum failed. Expected: 2e54, Got: 4238
Checksum failed. Expected: 3414, Got: bf33
Checksum failed. Expected: a809, Got: bbfa
Checksum failed. Expected: a584, Got: bc16
Checksum failed. Expected: cb62, Got: 3ab4
Checksum failed. Expected: 9552, Got: b894
Checksum failed. Expected: 0369, Got: 31ee
Checksum failed. Expected: fad7, Got: 2e36
Checksum failed. Expected: 86cd, Got: 400f
Checksum failed. Expected: 5027, Got: c4d6
Checksum failed. Expected: 1edc, Got: 3f27
Checksum failed. Expected: 7cf4, Got: c256
Checksum failed. Expected: a923, Got: c051
Checksum failed. Expected: 2897, Got: bcac
Checksum failed. Expected: 3529, Got: 34ab
Checksum failed. Expected: 35e8, Got: b739
Checksum failed. Expected: 1ce9, Got: 375f
Checksum failed. Expected: e433, Got: 31ff
Checksum failed. Expected: b568, Got: 2f53
Checksum failed. Expected: 185f, Got: 35fd
Checksum failed. Expected: 1bdc, Got: af72
Checksum failed. Expected: f9a4, Got: b37b
Checksum failed. Expected: c929, Got: 3508
Checksum failed. Expected: afc8, Got: 2298
Checksum failed. Expected: e987, Got: 9d28
Checksum failed. Expected: 4f5a, Got: 9f5f
Checksum failed. Expected: 9992, Got: 2058
Checksum failed. Expected: ac0b, Got: 17e6
Checksum failed. Expected: 447c, Got: 9cea
Checksum failed. Expected: b0d6, Got: 1b87
Checksum failed. Expected: 59f0, Got: 971c
Checksum failed. Expected: 5a6b, Got: 2e8a
Checksum failed. Expected: c226, Got: b9c6
Checksum failed. Expected: d77f, Got: adee
Checksum failed. Expected: d610, Got: a508
Checksum failed. Expected: 92a9, Got: a3a4
Checksum failed. Expected: 4606, Got: 2bf5
Checksum failed. Expected: 166e, Got: 3432
Checksum failed. Expected: 323a, Got: 34b0
Checksum failed. Expected: bcfa, Got: ad7d
Checksum failed. Expected: cb4e, Got: 2bcd
Checksum failed. Expected: 8bb1, Got: 27b4
Checksum failed. Expected: 0215, Got: 339a
Checksum failed. Expected: 0784, Got: b231
Checksum failed. Expected: 0525, Got: b852
Checksum failed. Expected: 3802, Got: bb48
Checksum failed. Expected: 49c1, Got: af46
Checksum failed. Expected: c6ee, Got: 3237
Checksum failed. Expected: ee75, Got: bd12
Checksum failed. Expected: dacf, Got: 3642
Checksum failed. Expected: 5e55, Got: 31cf
Checksum failed. Expected: 471e, Got: 2a84
Checksum failed. Expected: 7894, Got: 380a
Checksum failed. Expected: 24cc, Got: 38f3
Checksum failed. Expected: 29f4, Got: 36f9
Checksum failed. Expected: 93f8, Got: b96f
Checksum failed. Expected: 30fd, Got: b69d
Checksum failed. Expected: fec4, Got: 2eba
Checksum failed. Expected: 91ff, Got: 2c8a
Checksum failed. Expected: 474b, Got: b0dd
Checksum failed. Expected: 055d, Got: a8fe
Checksum failed. Expected: 0e7e, Got: 26b6
Checksum failed. Expected: 7e34, Got: 1f50
Checksum failed. Expected: cbd5, Got: a0eb
Checksum failed. Expected: 1c3c, Got: 2901
Checksum failed. Expected: 78dd, Got: 2aac
Checksum failed. Expected: f4bb, Got: a109
Checksum failed. Expected: 1c8c, Got: 26dd
Checksum failed. Expected: 52e6, Got: 9df9
Checksum failed. Expected: 8613, Got: 1987
Checksum failed. Expected: dea8, Got: 9ae3
Checksum failed. Expected: bd7f, Got: 9c54
Checksum failed. Expected: bca4, Got: 955d
Checksum failed. Expected: b9ad, Got: 1b29
Checksum failed. Expected: c5ba, Got: a6d8
Checksum failed. Expected: 6ac5, Got: 2683
Checksum failed. Expected: 2e88, Got: 92a8
Checksum failed. Expected: 6a61, Got: 1246
Checksum failed. Expected: 9f57, Got: a00c
Checksum failed. Expected: febb, Got: aaed
Checksum failed. Expected: 7f1f, Got: 34bc
Checksum failed. Expected: 88a7, Got: 29ce
Checksum failed. Expected: 01b5, Got: 9eb6
Checksum failed. Expected: 9c9c, Got: 2794
Checksum failed. Expected: c014, Got: a671
Checksum failed. Expected: 3048, Got: b147
Checksum failed. Expected: 99c5, Got: 3548
Checksum failed. Expected: c2e7, Got: b965
Checksum failed. Expected: f509, Got: 397e
Checksum failed. Expected: 687e, Got: 39dc
Checksum failed. Expected: 7479, Got: 2cbc
Checksum failed. Expected: 131c, Got: 2d28
Checksum failed. Expected: 17f9, Got: 3ec6
Checksum failed. Expected: 5880, Got: 3cf1
Checksum failed. Expected: f5f9, Got: b94c
Checksum failed. Expected: 9e79, Got: c268
Checksum failed. Expected: a077, Got: c57a
Checksum failed. Expected: b0e4, Got: c441
Checksum failed. Expected: 3405, Got: bf36
Checksum failed. Expected: 0fbc, Got: 3dfd
Checksum failed. Expected: bc60, Got: 3c41
Checksum failed. Expected: 5690, Got: ba39
Checksum failed. Expected: 66bb, Got: 3419
Checksum failed. Expected: 1ce9, Got: 2a0c
Checksum failed. Expected: 82b1, Got: 33ab
Checksum failed. Expected: 4ee5, Got: 3f62
Checksum failed. Expected: 5eb7, Got: bffb
Checksum failed. Expected: 173c, Got: bf01
Checksum failed. Expected: 9dc8, Got: 3c54
Checksum failed. Expected: c1f0, Got: 3872
Checksum failed. Expected: a9e4, Got: b873
Checksum failed. Expected: 410b, Got: 2ee5
Checksum failed. Expected: 6f50, Got: a83c
Checksum failed. Expected: 6484, Got: 3018
Checksum failed. Expected: ed39, Got: 34b1
Checksum failed. Expected: bfb6, Got: 27b7
Checksum failed. Expected: 8be0, Got: b1e2
Checksum failed. Expected: 79d8, Got: ae40
Checksum failed. Expected: 3f6d, Got: 2c04
Checksum failed. Expected: 4324, Got: 24e6
Checksum failed. Expected: 5224, Got: 29f8
Checksum failed. Expected: c248, Got: 2537
Checksum failed. Expected: 8c97, Got: 212a
Checksum failed. Expected: 2a44, Got: 9dec
Checksum failed. Expected: 8fac, Got: 9b69
Checksum failed. Expected: fcc6, Got: 1e8a
Checksum failed. Expected: a5b3, Got: 28ba
Checksum failed. Expected: fa34, Got: a756
Checksum failed. Expected: ef76, Got: 2b19
Checksum failed. Expected: f943, Got: a10c
Checksum failed. Expected: 69cc, Got: 2076
Checksum failed. Expected: 532e, Got: ad6e
Checksum failed. Expected: ad18, Got: a8cc
Checksum failed. Expected: e15f, Got: 9f44
Checksum failed. Expected: c57f, Got: 9fd8
Checksum failed. Expected: 2498, Got: 1c12
Checksum failed. Expected: a646, Got: 2354
Checksum failed. Expected: 5d12, Got: 2c12
