
#################################################################
Log started at 2025-06-12_16-21-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 4a0a, Got: 164c
Checksum failed. Expected: 637a, Got: 9410
Checksum failed. Expected: b8ac, Got: 13e2
Checksum failed. Expected: d2c2, Got: 1359
Checksum failed. Expected: 8c2c, Got: 8ee8
Checksum failed. Expected: 5f5c, Got: 81d6
Checksum failed. Expected: 6e52, Got: 0231
Checksum failed. Expected: a0b1, Got: 067d
Checksum failed. Expected: 3075, Got: 0fe1
Checksum failed. Expected: f1c7, Got: 88f3
Checksum failed. Expected: ecf1, Got: 879e
Checksum failed. Expected: 9304, Got: 0858
Checksum failed. Expected: 1c37, Got: 8333
Checksum failed. Expected: ae6a, Got: 8800
Checksum failed. Expected: b6dc, Got: 8c17
Checksum failed. Expected: 4f01, Got: 46fe
Checksum failed. Expected: aee1, Got: 897a
Checksum failed. Expected: 2ad3, Got: 88b5
Checksum failed. Expected: 2db2, Got: 0655
Checksum failed. Expected: 03c3, Got: 0501
Checksum failed. Expected: aab1, Got: ff8b
Checksum failed. Expected: 8ebc, Got: 7d7b
Checksum failed. Expected: 27ad, Got: 07e5
Checksum failed. Expected: 0adb, Got: 90a8
Checksum failed. Expected: 2536, Got: 0f87
Checksum failed. Expected: 9a6d, Got: 4e8c
Checksum failed. Expected: b169, Got: 1ced
Checksum failed. Expected: 2906, Got: 1378
Checksum failed. Expected: 14ee, Got: 0cb8
Checksum failed. Expected: 06bc, Got: 8330
Checksum failed. Expected: 24a9, Got: 0328
Checksum failed. Expected: 6bc6, Got: 7a04
Checksum failed. Expected: ff57, Got: fb39
Checksum failed. Expected: 650f, Got: fe42
Checksum failed. Expected: b6ba, Got: 02c2
Checksum failed. Expected: 3edd, Got: 84e2
Checksum failed. Expected: 7a44, Got: 0183
Checksum failed. Expected: 9cc9, Got: 8c16
Checksum failed. Expected: edb9, Got: 0397
Checksum failed. Expected: 8548, Got: 052c
Checksum failed. Expected: 4970, Got: 80cf
Checksum failed. Expected: 5b0c, Got: 84a5
Checksum failed. Expected: 6ba2, Got: 8132
Checksum failed. Expected: 5058, Got: 7e14
Checksum failed. Expected: 4887, Got: 84f4
Checksum failed. Expected: fde5, Got: 85be
Checksum failed. Expected: 9f64, Got: 1359
Checksum failed. Expected: d383, Got: 1919
Checksum failed. Expected: d4b5, Got: 9007
Checksum failed. Expected: 1779, Got: 069f
Checksum failed. Expected: c9b5, Got: 02d2
Checksum failed. Expected: 016c, Got: 03d6
Checksum failed. Expected: 3305, Got: 87da
Checksum failed. Expected: bac6, Got: 8b04
Checksum failed. Expected: 3edf, Got: 103e
Checksum failed. Expected: 7b1c, Got: 9093
Checksum failed. Expected: 9111, Got: 959b
