
#################################################################
Log started at 2025-06-12_16-22-19 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-5.745929, Y=0.116777, Z=7.931301 m/s^2 Time of Week: 2716.565000, Week Number: 0
Acceleration: X=-5.739333, Y=0.123925, Z=7.933065 m/s^2 Time of Week: 2716.566000, Week Number: 0
Acceleration: X=-5.739375, Y=0.117872, Z=7.931850 m/s^2 Time of Week: 2716.567000, Week Number: 0
Acceleration: X=-5.739347, Y=0.120293, Z=7.930650 m/s^2 Time of Week: 2716.568000, Week Number: 0
Acceleration: X=-5.748330, Y=0.120953, Z=7.932427 m/s^2 Time of Week: 2716.569000, Week Number: 0
Acceleration: X=-5.749549, Y=0.118004, Z=7.928244 m/s^2 Time of Week: 2716.570000, Week Number: 0
Acceleration: X=-5.747751, Y=0.117369, Z=7.933049 m/s^2 Time of Week: 2716.571000, Week Number: 0
Acceleration: X=-5.744134, Y=0.118546, Z=7.928277 m/s^2 Time of Week: 2716.572000, Week Number: 0
Acceleration: X=-5.742981, Y=0.108366, Z=7.927097 m/s^2 Time of Week: 2716.573000, Week Number: 0
Acceleration: X=-5.739969, Y=0.111952, Z=7.934283 m/s^2 Time of Week: 2716.574000, Week Number: 0
Acceleration: X=-5.741794, Y=0.113165, Z=7.934256 m/s^2 Time of Week: 2716.575000, Week Number: 0
Acceleration: X=-5.740571, Y=0.116137, Z=7.932475 m/s^2 Time of Week: 2716.576000, Week Number: 0
Acceleration: X=-5.747112, Y=0.121587, Z=7.933654 m/s^2 Time of Week: 2716.577000, Week Number: 0
Acceleration: X=-5.748246, Y=0.127597, Z=7.930057 m/s^2 Time of Week: 2716.578000, Week Number: 0
Acceleration: X=-5.740487, Y=0.123341, Z=7.932479 m/s^2 Time of Week: 2716.579000, Week Number: 0
Acceleration: X=-5.741104, Y=0.122158, Z=7.939658 m/s^2 Time of Week: 2716.580000, Week Number: 0
Acceleration: X=-5.748319, Y=0.122171, Z=7.928855 m/s^2 Time of Week: 2716.581000, Week Number: 0
Acceleration: X=-5.752514, Y=0.125204, Z=7.936642 m/s^2 Time of Week: 2716.582000, Week Number: 0
Acceleration: X=-5.749489, Y=0.124600, Z=7.933066 m/s^2 Time of Week: 2716.583000, Week Number: 0
Acceleration: X=-5.749502, Y=0.118584, Z=7.934291 m/s^2 Time of Week: 2716.584000, Week Number: 0
Acceleration: X=-5.750746, Y=0.114977, Z=7.934279 m/s^2 Time of Week: 2716.585000, Week Number: 0
Acceleration: X=-5.749526, Y=0.118570, Z=7.933663 m/s^2 Time of Week: 2716.586000, Week Number: 0
