
#################################################################
Log started at 2025-06-12_14-02-41 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: b951, Got: 0e04
Checksum failed. Expected: 84b8, Got: 0e04
Checksum failed. Expected: ca98, Got: 0e04
Checksum failed. Expected: 5b49, Got: 0e04
Checksum failed. Expected: cd99, Got: 0e04
Checksum failed. Expected: 24b6, Got: 0e04
Checksum failed. Expected: de92, Got: 0e04
Checksum failed. Expected: b4b5, Got: 0e04
Checksum failed. Expected: fba7, Got: 0e04
Checksum failed. Expected: 3457, Got: 0e04
Checksum failed. Expected: 42fc, Got: 0e04
Checksum failed. Expected: b341, Got: 0e04
Checksum failed. Expected: ef4d, Got: 0e04
Checksum failed. Expected: a703, Got: 0e04
Checksum failed. Expected: 7370, Got: 0e04
Checksum failed. Expected: 5340, Got: 0e04
Checksum failed. Expected: 3cc8, Got: 0e04
Checksum failed. Expected: 1dc4, Got: 0e04
Checksum failed. Expected: 4d04, Got: 0e04
Checksum failed. Expected: 7d14, Got: 0e04
Checksum failed. Expected: ae40, Got: 0e04
Checksum failed. Expected: 5e59, Got: 0e04
Checksum failed. Expected: 3695, Got: 0e04
Checksum failed. Expected: a6ab, Got: 0e04
Checksum failed. Expected: 2400, Got: 0e04
Checksum failed. Expected: f6d1, Got: 0e04
Checksum failed. Expected: 1804, Got: 0e04
Checksum failed. Expected: 941c, Got: 0e04
Checksum failed. Expected: 73e5, Got: 0e04
Checksum failed. Expected: 734d, Got: 0e04
Checksum failed. Expected: 44f2, Got: 0e04
Checksum failed. Expected: c332, Got: 0e04
Checksum failed. Expected: a881, Got: 0e04
Checksum failed. Expected: 4303, Got: 0e04
Checksum failed. Expected: 22ab, Got: 0e04
Checksum failed. Expected: e460, Got: 0e04
Checksum failed. Expected: 9a09, Got: 0e04
Checksum failed. Expected: 9c8d, Got: 0e04
Checksum failed. Expected: 8b8f, Got: 0e04
Checksum failed. Expected: 1d74, Got: 0e04
Checksum failed. Expected: aac8, Got: 0e04
Checksum failed. Expected: e8f4, Got: 0e04
Checksum failed. Expected: d930, Got: 0e04
Checksum failed. Expected: d0fc, Got: 0e04
Checksum failed. Expected: 3dd0, Got: 0e04
Checksum failed. Expected: 3360, Got: 0e04
Checksum failed. Expected: 0635, Got: 0e04
Checksum failed. Expected: 9b35, Got: 0e04
Checksum failed. Expected: f7bb, Got: 0e04
Checksum failed. Expected: d254, Got: 0e04
Checksum failed. Expected: 8c45, Got: 0e04
Checksum failed. Expected: fda4, Got: 0e04
Checksum failed. Expected: 015c, Got: 0e04
Checksum failed. Expected: 67b1, Got: 0e04
Checksum failed. Expected: 5d51, Got: 0e04
Checksum failed. Expected: 9a66, Got: 0e04
Checksum failed. Expected: eb0e, Got: 0e04
Checksum failed. Expected: 2615, Got: 0e04
