
#################################################################
Log started at 2025-06-12_16-19-12 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: a7b9, Got: 5283
Checksum failed. Expected: 4050, Got: 8ea9
Checksum failed. Expected: 1c30, Got: 910e
Checksum failed. Expected: c686, Got: 53f2
Checksum failed. Expected: 7cda, Got: a63b
Checksum failed. Expected: 9dff, Got: a21f
Checksum failed. Expected: e964, Got: a1f1
Checksum failed. Expected: d3e4, Got: 8ea2
Checksum failed. Expected: ba32, Got: 8a4c
Checksum failed. Expected: 869c, Got: 8d84
Checksum failed. Expected: a901, Got: 8e15
Checksum failed. Expected: 8a54, Got: 4e9f
Checksum failed. Expected: 7c42, Got: 9f11
Checksum failed. Expected: da18, Got: 4bff
Checksum failed. Expected: 1a0c, Got: c05a
Checksum failed. Expected: 08cd, Got: 7eca
Checksum failed. Expected: 95d5, Got: 0a51
Checksum failed. Expected: abf3, Got: 92c4
Checksum failed. Expected: fefe, Got: 077c
Checksum failed. Expected: 2859, Got: 13ab
Checksum failed. Expected: b840, Got: 1259
Checksum failed. Expected: 90f1, Got: 94f2
Checksum failed. Expected: c1a8, Got: 0f67
Checksum failed. Expected: 3a3c, Got: 0996
Checksum failed. Expected: e7a9, Got: 1614
Checksum failed. Expected: 1dc7, Got: 95af
Checksum failed. Expected: bfd2, Got: 1688
Checksum failed. Expected: 36b4, Got: 1583
Checksum failed. Expected: c8fd, Got: 0b7e
Checksum failed. Expected: 20f0, Got: 0aa9
Checksum failed. Expected: a298, Got: 0b04
Checksum failed. Expected: 7395, Got: 0d48
Checksum failed. Expected: 6408, Got: 4f95
Checksum failed. Expected: a2ec, Got: 4fbf
Checksum failed. Expected: 29ad, Got: 10c0
Checksum failed. Expected: 01bb, Got: 140b
Checksum failed. Expected: 8587, Got: d432
Checksum failed. Expected: d0de, Got: 576e
Checksum failed. Expected: d646, Got: 5c48
Checksum failed. Expected: 7f9f, Got: 5a02
Checksum failed. Expected: e8a6, Got: 2c30
Checksum failed. Expected: 3f6c, Got: 25fd
Checksum failed. Expected: 2b04, Got: a785
Checksum failed. Expected: fd24, Got: a794
Checksum failed. Expected: f0f4, Got: ac08
Checksum failed. Expected: f8d9, Got: 26d4
Checksum failed. Expected: 814d, Got: ce52
Checksum failed. Expected: e8d7, Got: 502c
Checksum failed. Expected: bd51, Got: 109c
Checksum failed. Expected: 7e82, Got: 2616
Checksum failed. Expected: f52c, Got: 193d
Checksum failed. Expected: 0aa7, Got: 96b6
Checksum failed. Expected: b4bd, Got: 1712
Checksum failed. Expected: b066, Got: 9c24
Checksum failed. Expected: a34e, Got: 23c5
Checksum failed. Expected: 938c, Got: 8f5a
Checksum failed. Expected: afc4, Got: 4db0
Checksum failed. Expected: 0819, Got: 4dc8
Checksum failed. Expected: 46fb, Got: 1c21
Checksum failed. Expected: c363, Got: a16c
Checksum failed. Expected: 9760, Got: a6d9
Checksum failed. Expected: 7c45, Got: 2398
Checksum failed. Expected: 62f6, Got: 960a
Checksum failed. Expected: d1cf, Got: 07ae
Checksum failed. Expected: aa2c, Got: 08ac
Checksum failed. Expected: fbd6, Got: 4bfa
Checksum failed. Expected: e6c6, Got: 0dfd
Checksum failed. Expected: 0d0a, Got: 4c3c
Checksum failed. Expected: 58d2, Got: 8c35
Checksum failed. Expected: bc6a, Got: 53e7
Checksum failed. Expected: c24c, Got: 9790
Checksum failed. Expected: 2985, Got: 92fa
Checksum failed. Expected: 0829, Got: 8ea8
Checksum failed. Expected: ef3b, Got: 1f7f
Checksum failed. Expected: e213, Got: 2263
Checksum failed. Expected: d878, Got: 9bed
Checksum failed. Expected: 9b93, Got: 981e
Checksum failed. Expected: d438, Got: 9826
Checksum failed. Expected: c862, Got: 0e58
Checksum failed. Expected: 411a, Got: 0ed7
Checksum failed. Expected: be83, Got: 0f1e
Checksum failed. Expected: ef36, Got: a0b8
Checksum failed. Expected: a9b4, Got: 9ae5
Checksum failed. Expected: 6f2d, Got: 9864
Checksum failed. Expected: 31b1, Got: a259
Checksum failed. Expected: 95e3, Got: cf0a
Checksum failed. Expected: 4b44, Got: 1dd8
Checksum failed. Expected: 1d58, Got: 9848
Checksum failed. Expected: f4dc, Got: 0cd5
Checksum failed. Expected: 81ca, Got: 847c
Checksum failed. Expected: 794c, Got: 0445
Checksum failed. Expected: b4db, Got: 87ac
Checksum failed. Expected: 1e2b, Got: cba6
Checksum failed. Expected: c7d7, Got: c9ba
Checksum failed. Expected: 9493, Got: 9554
Checksum failed. Expected: 8a38, Got: 9d59
Checksum failed. Expected: b62b, Got: 918c
Checksum failed. Expected: 37c2, Got: 951a
Checksum failed. Expected: 6256, Got: ca18
Checksum failed. Expected: d879, Got: 0a05
Checksum failed. Expected: d19c, Got: 8e39
Checksum failed. Expected: 9aa0, Got: 0a01
Checksum failed. Expected: ba91, Got: cb1d
Checksum failed. Expected: c94f, Got: 9ba4
Checksum failed. Expected: f301, Got: a004
Checksum failed. Expected: 8e79, Got: 22ef
Checksum failed. Expected: 4711, Got: 1284
Checksum failed. Expected: 8853, Got: 8d52
Checksum failed. Expected: 0539, Got: 0b87
Checksum failed. Expected: 4a01, Got: 9333
Checksum failed. Expected: f204, Got: 9fda
Checksum failed. Expected: bc45, Got: d107
Checksum failed. Expected: b2da, Got: 21d7
Checksum failed. Expected: d932, Got: 0c49
Checksum failed. Expected: ebd3, Got: 5028
Checksum failed. Expected: 558d, Got: ccb5
Checksum failed. Expected: 13e6, Got: 1a67
Checksum failed. Expected: 0c6c, Got: 93ee
Checksum failed. Expected: 9b88, Got: 9e20
Checksum failed. Expected: 0242, Got: 25cd
Checksum failed. Expected: 68db, Got: 2086
Checksum failed. Expected: 9d8e, Got: ccf2
Checksum failed. Expected: 3720, Got: 9d68
Checksum failed. Expected: bff9, Got: 1b25
Checksum failed. Expected: e59c, Got: 1e9e
Checksum failed. Expected: b4c9, Got: 1bc2
Checksum failed. Expected: 3ec3, Got: 91db
Checksum failed. Expected: 9a27, Got: 0cc5
Checksum failed. Expected: 9b41, Got: 1be2
Checksum failed. Expected: 48e4, Got: 9d4f
Checksum failed. Expected: 9a23, Got: 26b0
Checksum failed. Expected: a930, Got: a240
Checksum failed. Expected: 3be2, Got: 9b10
Checksum failed. Expected: 181a, Got: a0d7
Checksum failed. Expected: b821, Got: 9ce9
Checksum failed. Expected: 568a, Got: 9401
Checksum failed. Expected: d277, Got: 9027
Checksum failed. Expected: f6f4, Got: 0dce
Checksum failed. Expected: 8f72, Got: 9135
Checksum failed. Expected: af28, Got: 15dc
Checksum failed. Expected: 2882, Got: 9e9a
Checksum failed. Expected: 9d07, Got: 29e1
Checksum failed. Expected: d8a5, Got: ab4a
Checksum failed. Expected: 8f5e, Got: 9ba5
Checksum failed. Expected: 7d66, Got: 1b96
Checksum failed. Expected: 34f6, Got: 1ec4
Checksum failed. Expected: c967, Got: 267f
Checksum failed. Expected: 82a2, Got: 2490
Checksum failed. Expected: 72c8, Got: a101
Checksum failed. Expected: 9c8d, Got: cb60
Checksum failed. Expected: cf57, Got: 11cc
Checksum failed. Expected: dd56, Got: 96c4
