
#################################################################
Log started at 2025-06-13_14-53-05 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 0351, Got: ee75
Checksum failed. Expected: ed47, Got: fa75
Checksum failed. Expected: b5b1, Got: 9c75
Checksum failed. Expected: 8b45, Got: 5a75
Checksum failed. Expected: 9711, Got: 1a75
Checksum failed. Expected: e3e4, Got: a175
Checksum failed. Expected: bf35, Got: 1675
Checksum failed. Expected: 0745, Got: de75
Checksum failed. Expected: 75f7, Got: 2275
Checksum failed. Expected: 97fd, Got: 0675
Checksum failed. Expected: ada2, Got: 9575
Checksum failed. Expected: 318d, Got: fc75
Checksum failed. Expected: e9e1, Got: 9875
Checksum failed. Expected: 2f65, Got: d675
Checksum failed. Expected: a91e, Got: 1575
Checksum failed. Expected: a3ae, Got: ab75
Checksum failed. Expected: c9b9, Got: 9075
Checksum failed. Expected: d56d, Got: 3875
Checksum failed. Expected: b9f0, Got: d775
Checksum failed. Expected: 11ff, Got: 8e75
Checksum failed. Expected: 6199, Got: d875
Checksum failed. Expected: 6188, Got: c775
Checksum failed. Expected: 1b51, Got: d675
Checksum failed. Expected: 954e, Got: 5975
Checksum failed. Expected: 5772, Got: bb75
Checksum failed. Expected: bf25, Got: 0675
Checksum failed. Expected: f120, Got: cf75
Checksum failed. Expected: bdbc, Got: 9f75
Checksum failed. Expected: 5fba, Got: fb75
Checksum failed. Expected: 1b32, Got: b775
Checksum failed. Expected: 9560, Got: 6b75
Checksum failed. Expected: b943, Got: 2a75
Checksum failed. Expected: 05a8, Got: 4375
Checksum failed. Expected: c336, Got: 1375
Checksum failed. Expected: db21, Got: e675
Checksum failed. Expected: 4363, Got: c075
Checksum failed. Expected: a7d9, Got: d275
Checksum failed. Expected: 6356, Got: 9375
Checksum failed. Expected: 73ac, Got: d975
Checksum failed. Expected: 1784, Got: 0d75
Checksum failed. Expected: 05c7, Got: 6275
Checksum failed. Expected: 7318, Got: 4575
Checksum failed. Expected: 0db5, Got: 4875
Checksum failed. Expected: e1d6, Got: 9575
Checksum failed. Expected: 3548, Got: b375
Checksum failed. Expected: 8dfa, Got: 0d75
Checksum failed. Expected: f32f, Got: dc75
Checksum failed. Expected: 15a2, Got: 2d75
Checksum failed. Expected: 5112, Got: 6175
Checksum failed. Expected: fb1a, Got: bf75
Checksum failed. Expected: 2767, Got: e075
Checksum failed. Expected: 6dcd, Got: 0075
Checksum failed. Expected: afe0, Got: d175
Checksum failed. Expected: d36b, Got: 3875
Checksum failed. Expected: 65fd, Got: 3875
Checksum failed. Expected: 391f, Got: 8675
Checksum failed. Expected: 538e, Got: db75
