
#################################################################
Log started at 2025-06-13_14-56-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 59e4, Got: 04bc
Checksum failed. Expected: 10b5, Got: 04bc
Checksum failed. Expected: 8db5, Got: 04bc
Checksum failed. Expected: e9fc, Got: 04bc
Checksum failed. Expected: 7431, Got: 04bc
Checksum failed. Expected: 071c, Got: 04bc
Checksum failed. Expected: 9143, Got: 04bc
Checksum failed. Expected: a7bb, Got: 04bc
Checksum failed. Expected: fa45, Got: 04bc
Checksum failed. Expected: 0c8d, Got: 04bc
Checksum failed. Expected: 3279, Got: 04bc
Checksum failed. Expected: faaf, Got: 04bc
Checksum failed. Expected: af32, Got: 04bc
Checksum failed. Expected: 8cde, Got: 04bc
Checksum failed. Expected: 253a, Got: 04bc
Checksum failed. Expected: 631e, Got: 04bc
Checksum failed. Expected: 7112, Got: 04bc
Checksum failed. Expected: e33a, Got: 04bc
Checksum failed. Expected: 708a, Got: 04bc
Checksum failed. Expected: 45b1, Got: 04bc
Checksum failed. Expected: 31d4, Got: 04bc
Checksum failed. Expected: 9829, Got: 04bc
Checksum failed. Expected: 3817, Got: 04bc
Checksum failed. Expected: 160c, Got: 04bc
Checksum failed. Expected: f73c, Got: 04bc
Checksum failed. Expected: 673a, Got: 04bc
Checksum failed. Expected: e666, Got: 04bc
Checksum failed. Expected: b63d, Got: 04bc
Checksum failed. Expected: 1a53, Got: 04bc
Checksum failed. Expected: e050, Got: 04bc
Checksum failed. Expected: 6a5d, Got: 04bc
Checksum failed. Expected: 4637, Got: 04bc
Checksum failed. Expected: afa2, Got: 04bc
Checksum failed. Expected: 9541, Got: 04bc
Checksum failed. Expected: 31b7, Got: 04bc
Checksum failed. Expected: d71e, Got: 04bc
Checksum failed. Expected: 7835, Got: 04bc
Checksum failed. Expected: b09b, Got: 04bc
Checksum failed. Expected: 8fb4, Got: 04bc
Checksum failed. Expected: c4db, Got: 04bc
Checksum failed. Expected: 95b2, Got: 04bc
Checksum failed. Expected: f64d, Got: 04bc
Checksum failed. Expected: 22c5, Got: 04bc
Checksum failed. Expected: 32f7, Got: 04bc
Checksum failed. Expected: 88d3, Got: 04bc
Checksum failed. Expected: 2adc, Got: 04bc
Checksum failed. Expected: 76d3, Got: 04bc
Checksum failed. Expected: cecc, Got: 04bc
Checksum failed. Expected: a1d4, Got: 04bc
Checksum failed. Expected: 96c9, Got: 04bc
Checksum failed. Expected: a710, Got: 04bc
Checksum failed. Expected: fddd, Got: 04bc
Checksum failed. Expected: b904, Got: 04bc
Checksum failed. Expected: dedb, Got: 04bc
Checksum failed. Expected: 98d2, Got: 04bc
Checksum failed. Expected: 4267, Got: 04bc
Checksum failed. Expected: a884, Got: 04bc
Checksum failed. Expected: 0b6c, Got: 04bc
Checksum failed. Expected: 8550, Got: 04bc
Checksum failed. Expected: 5643, Got: 04bc
Checksum failed. Expected: fdc4, Got: 04bc
Checksum failed. Expected: e57e, Got: 04bc
Checksum failed. Expected: 07ee, Got: 04bc
Checksum failed. Expected: 06a7, Got: 04bc
Checksum failed. Expected: 9314, Got: 04bc
Checksum failed. Expected: 7356, Got: 04bc
Checksum failed. Expected: 30a5, Got: 04bc
Checksum failed. Expected: ab7b, Got: 04bc
Checksum failed. Expected: 44b6, Got: 04bc
Checksum failed. Expected: 8c57, Got: 04bc
Checksum failed. Expected: a0c9, Got: 04bc
Checksum failed. Expected: 8ad7, Got: 04bc
Checksum failed. Expected: dc64, Got: 04bc
Checksum failed. Expected: eb5a, Got: 04bc
Checksum failed. Expected: 6a93, Got: 04bc
Checksum failed. Expected: 693f, Got: 04bc
Checksum failed. Expected: ff46, Got: 04bc
Checksum failed. Expected: 06a7, Got: 04bc
Checksum failed. Expected: a686, Got: 04bc
Checksum failed. Expected: ff9c, Got: 04bc
Checksum failed. Expected: 72ed, Got: 04bc
Checksum failed. Expected: 12db, Got: 04bc
Checksum failed. Expected: 9ac4, Got: 04bc
Checksum failed. Expected: 4c08, Got: 04bc
Checksum failed. Expected: 2027, Got: 04bc
Checksum failed. Expected: 2ac7, Got: 04bc
Checksum failed. Expected: 0b18, Got: 04bc
Checksum failed. Expected: 6786, Got: 04bc
Checksum failed. Expected: 7e37, Got: 04bc
Checksum failed. Expected: b681, Got: 04bc
Checksum failed. Expected: a059, Got: 04bc
Checksum failed. Expected: bd88, Got: 04bc
Checksum failed. Expected: dab7, Got: 04bc
Checksum failed. Expected: e23b, Got: 04bc
Checksum failed. Expected: 5ae6, Got: 04bc
Checksum failed. Expected: 98b7, Got: 04bc
Checksum failed. Expected: ee7a, Got: 04bc
Checksum failed. Expected: aedd, Got: 04bc
Checksum failed. Expected: b768, Got: 04bc
Checksum failed. Expected: 324d, Got: 04bc
Checksum failed. Expected: 4c2e, Got: 04bc
Checksum failed. Expected: 538a, Got: 04bc
Checksum failed. Expected: 6fb8, Got: 04bc
Checksum failed. Expected: 0288, Got: 04bc
Checksum failed. Expected: 1067, Got: 04bc
Checksum failed. Expected: abdd, Got: 04bc
Checksum failed. Expected: c051, Got: 04bc
Checksum failed. Expected: 4508, Got: 04bc
Checksum failed. Expected: 7b52, Got: 04bc
Checksum failed. Expected: 106d, Got: 04bc
Checksum failed. Expected: 87e2, Got: 04bc
Checksum failed. Expected: f9e2, Got: 04bc
Checksum failed. Expected: 29a0, Got: 04bc
Checksum failed. Expected: 3455, Got: 04bc
Checksum failed. Expected: ec3b, Got: 04bc
Checksum failed. Expected: d649, Got: 04bc
Checksum failed. Expected: 2f69, Got: 04bc
Checksum failed. Expected: a05c, Got: 04bc
Checksum failed. Expected: e394, Got: 04bc
Checksum failed. Expected: 5053, Got: 04bc
Checksum failed. Expected: 64c5, Got: 04bc
Checksum failed. Expected: 5434, Got: 04bc
Checksum failed. Expected: 23ea, Got: 04bc
Checksum failed. Expected: 4c23, Got: 04bc
Checksum failed. Expected: 0a8e, Got: 04bc
Checksum failed. Expected: 9d56, Got: 04bc
Checksum failed. Expected: ad74, Got: 04bc
Checksum failed. Expected: cba9, Got: 04bc
Checksum failed. Expected: cd8e, Got: 04bc
Checksum failed. Expected: 8c07, Got: 04bc
Checksum failed. Expected: 185f, Got: 04bc
Checksum failed. Expected: 9e32, Got: 04bc
Checksum failed. Expected: 2c82, Got: 04bc
Checksum failed. Expected: 94c5, Got: 04bc
Checksum failed. Expected: 27a2, Got: 04bc
Checksum failed. Expected: efd8, Got: 04bc
Checksum failed. Expected: 273e, Got: 04bc
Checksum failed. Expected: 7105, Got: 04bc
Checksum failed. Expected: dc6e, Got: 04bc
Checksum failed. Expected: f320, Got: 04bc
Checksum failed. Expected: 6433, Got: 04bc
Checksum failed. Expected: bd4e, Got: 04bc
Checksum failed. Expected: 4544, Got: 04bc
Checksum failed. Expected: 66b8, Got: 04bc
Checksum failed. Expected: 2b8f, Got: 04bc
Checksum failed. Expected: 24c3, Got: 04bc
Checksum failed. Expected: bc1d, Got: 04bc
Checksum failed. Expected: 4867, Got: 04bc
Checksum failed. Expected: d8f6, Got: 04bc
Checksum failed. Expected: a358, Got: 04bc
Checksum failed. Expected: 8904, Got: 04bc
Checksum failed. Expected: ab8f, Got: 04bc
Checksum failed. Expected: 0f8a, Got: 04bc
Checksum failed. Expected: e4e5, Got: 04bc
Checksum failed. Expected: ac0c, Got: 04bc
Checksum failed. Expected: a1e0, Got: 04bc
Checksum failed. Expected: 3e8f, Got: 04bc
Checksum failed. Expected: 542b, Got: 04bc
Checksum failed. Expected: e17d, Got: 04bc
Checksum failed. Expected: 2b39, Got: 04bc
Checksum failed. Expected: 3295, Got: 04bc
Checksum failed. Expected: 9b14, Got: 04bc
Checksum failed. Expected: 43aa, Got: 04bc
Checksum failed. Expected: 77bc, Got: 04bc
Checksum failed. Expected: 7336, Got: 04bc
Checksum failed. Expected: f9e6, Got: 04bc
Checksum failed. Expected: f538, Got: 04bc
Checksum failed. Expected: 08a3, Got: 04bc
Checksum failed. Expected: af38, Got: 04bc
Checksum failed. Expected: 3504, Got: 04bc
Checksum failed. Expected: 578d, Got: 04bc
Checksum failed. Expected: 622f, Got: 04bc
Checksum failed. Expected: 2086, Got: 04bc
Checksum failed. Expected: 869d, Got: 04bc
Checksum failed. Expected: 88a3, Got: 04bc
Checksum failed. Expected: f237, Got: 04bc
Checksum failed. Expected: 3121, Got: 04bc
Checksum failed. Expected: e5a0, Got: 04bc
Checksum failed. Expected: 050e, Got: 04bc
Checksum failed. Expected: ad8b, Got: 04bc
Checksum failed. Expected: 51a2, Got: 04bc
Checksum failed. Expected: f7ff, Got: 04bc
Checksum failed. Expected: 6b4c, Got: 04bc
Checksum failed. Expected: 8bce, Got: 04bc
Checksum failed. Expected: 1b6c, Got: 04bc
Checksum failed. Expected: ec5f, Got: 04bc
Checksum failed. Expected: 4cf1, Got: 04bc
Checksum failed. Expected: 9afd, Got: 04bc
Checksum failed. Expected: 978c, Got: 04bc
Checksum failed. Expected: 882d, Got: 04bc
Checksum failed. Expected: c4fb, Got: 04bc
Checksum failed. Expected: 8f70, Got: 04bc
Checksum failed. Expected: 2f4f, Got: 04bc
Checksum failed. Expected: 895f, Got: 04bc
Checksum failed. Expected: 54bf, Got: 04bc
Checksum failed. Expected: b582, Got: 04bc
