
#################################################################
Log started at 2025-06-13_16-08-38 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 34ab, Got: 0942
Checksum failed. Expected: 5e27, Got: 0942
Checksum failed. Expected: af0c, Got: 0942
Checksum failed. Expected: 6a75, Got: 0942
Checksum failed. Expected: 2e83, Got: 0942
Checksum failed. Expected: dd32, Got: 0942
Checksum failed. Expected: 012d, Got: 0942
Checksum failed. Expected: c64b, Got: 0942
Checksum failed. Expected: 63f7, Got: 0942
Checksum failed. Expected: bd6c, Got: 0942
Checksum failed. Expected: 7156, Got: 0942
Checksum failed. Expected: e661, Got: 0942
Checksum failed. Expected: 7a6f, Got: 0942
Checksum failed. Expected: d92d, Got: 0942
Checksum failed. Expected: ac2b, Got: 0942
Checksum failed. Expected: 0bc5, Got: 0942
Checksum failed. Expected: e930, Got: 0942
Checksum failed. Expected: 628f, Got: 0942
Checksum failed. Expected: 0f2d, Got: 0942
Checksum failed. Expected: 477b, Got: 0942
Checksum failed. Expected: 4309, Got: 0942
Checksum failed. Expected: a2b8, Got: 0942
Checksum failed. Expected: ed16, Got: 0942
Checksum failed. Expected: c88d, Got: 0942
Checksum failed. Expected: 364f, Got: 0942
Checksum failed. Expected: c4fd, Got: 0942
Checksum failed. Expected: c5cc, Got: 0942
Checksum failed. Expected: b037, Got: 0942
Checksum failed. Expected: a885, Got: 0942
Checksum failed. Expected: d406, Got: 0942
Checksum failed. Expected: 208d, Got: 0942
Checksum failed. Expected: 1c2f, Got: 0942
Checksum failed. Expected: 113e, Got: 0942
Checksum failed. Expected: 4979, Got: 0942
Checksum failed. Expected: 4b67, Got: 0942
Checksum failed. Expected: 37f5, Got: 0942
Checksum failed. Expected: 9ae6, Got: 0942
Checksum failed. Expected: 7320, Got: 0942
Checksum failed. Expected: 9c79, Got: 0942
Checksum failed. Expected: e3cb, Got: 0942
Checksum failed. Expected: 9289, Got: 0942
Checksum failed. Expected: 0367, Got: 0942
Checksum failed. Expected: 8005, Got: 0942
Checksum failed. Expected: 9507, Got: 0942
Checksum failed. Expected: bb0d, Got: 0942
Checksum failed. Expected: 4f29, Got: 0942
Checksum failed. Expected: 501b, Got: 0942
Checksum failed. Expected: 8ca9, Got: 0942
Checksum failed. Expected: 8828, Got: 0942
Checksum failed. Expected: 6393, Got: 0942
Checksum failed. Expected: 68a4, Got: 0942
Checksum failed. Expected: 352d, Got: 0942
Checksum failed. Expected: d949, Got: 0942
Checksum failed. Expected: 4e7b, Got: 0942
Checksum failed. Expected: 705a, Got: 0942
Checksum failed. Expected: 5de5, Got: 0942
Checksum failed. Expected: 3203, Got: 0942
Checksum failed. Expected: 94d8, Got: 0942
Checksum failed. Expected: 28bb, Got: 0942
Checksum failed. Expected: 398a, Got: 0942
Checksum failed. Expected: bfb3, Got: 0942
Checksum failed. Expected: 1935, Got: 0942
Checksum failed. Expected: c6d3, Got: 0942
Checksum failed. Expected: c261, Got: 0942
Checksum failed. Expected: 6fe3, Got: 0942
Checksum failed. Expected: ee79, Got: 0942
Checksum failed. Expected: 29f7, Got: 0942
Checksum failed. Expected: 4d13, Got: 0942
Checksum failed. Expected: de05, Got: 0942
Checksum failed. Expected: 5ba3, Got: 0942
Checksum failed. Expected: e2d2, Got: 0942
Checksum failed. Expected: 65b0, Got: 0942
Checksum failed. Expected: 1de9, Got: 0942
Checksum failed. Expected: f427, Got: 0942
Checksum failed. Expected: c403, Got: 0942
Checksum failed. Expected: 4926, Got: 0942
Checksum failed. Expected: 0161, Got: 0942
Checksum failed. Expected: 0cdf, Got: 0942
Checksum failed. Expected: 5970, Got: 0942
Checksum failed. Expected: 0b49, Got: 0942
Checksum failed. Expected: 6a07, Got: 0942
Checksum failed. Expected: 9576, Got: 0942
Checksum failed. Expected: 20ef, Got: 0942
Checksum failed. Expected: 11e1, Got: 0942
Checksum failed. Expected: 65ef, Got: 0942
Checksum failed. Expected: e390, Got: 0942
Checksum failed. Expected: b55a, Got: 0942
Checksum failed. Expected: 80c5, Got: 0942
Checksum failed. Expected: a6f3, Got: 0942
Checksum failed. Expected: d6cf, Got: 0942
Checksum failed. Expected: ef41, Got: 0942
Checksum failed. Expected: 645f, Got: 0942
Checksum failed. Expected: 7b81, Got: 0942
Checksum failed. Expected: a7e7, Got: 0942
Checksum failed. Expected: f8c5, Got: 0942
