
#################################################################
Log started at 2025-06-12_16-19-53 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 6b39, Got: 967a
Checksum failed. Expected: 16d5, Got: 1371
Checksum failed. Expected: 573a, Got: 1571
Checksum failed. Expected: 1697, Got: 13aa
Checksum failed. Expected: 7ae0, Got: 2488
Checksum failed. Expected: b196, Got: ac93
Checksum failed. Expected: 3c82, Got: ae2a
Checksum failed. Expected: a519, Got: 2696
Checksum failed. Expected: 2929, Got: 20d6
Checksum failed. Expected: ad31, Got: 1b3a
Checksum failed. Expected: 4751, Got: 18c9
Checksum failed. Expected: a6af, Got: 1a98
Checksum failed. Expected: a47c, Got: 9ad2
Checksum failed. Expected: 4277, Got: 9cc6
Checksum failed. Expected: d137, Got: 1ade
Checksum failed. Expected: ddb1, Got: 1007
Checksum failed. Expected: 4a7b, Got: 173e
Checksum failed. Expected: 3d18, Got: 22aa
Checksum failed. Expected: 9253, Got: aded
Checksum failed. Expected: 8d8d, Got: aa9b
Checksum failed. Expected: cef0, Got: 9e1c
Checksum failed. Expected: f82b, Got: 9d2e
Checksum failed. Expected: 54a0, Got: 213b
Checksum failed. Expected: 5ba8, Got: a225
Checksum failed. Expected: d73f, Got: 1944
Checksum failed. Expected: 43d2, Got: 947e
Checksum failed. Expected: 8298, Got: 1db4
Checksum failed. Expected: c98e, Got: 9d82
Checksum failed. Expected: 76ca, Got: 932c
Checksum failed. Expected: 0ca0, Got: 93b9
Checksum failed. Expected: de83, Got: 127c
Checksum failed. Expected: 9899, Got: 14b2
Checksum failed. Expected: d9aa, Got: 9653
Checksum failed. Expected: ad1b, Got: 1a39
Checksum failed. Expected: ebb5, Got: 18c9
Checksum failed. Expected: b0e1, Got: 8b86
Checksum failed. Expected: 253c, Got: 8433
Checksum failed. Expected: a0ae, Got: 03de
Checksum failed. Expected: 2672, Got: 0abf
Checksum failed. Expected: e11b, Got: 9046
Checksum failed. Expected: 2a43, Got: 1831
Checksum failed. Expected: c14b, Got: 9d17
Checksum failed. Expected: 4ed7, Got: 90fb
Checksum failed. Expected: 273b, Got: 940a
Checksum failed. Expected: 1e2a, Got: 983a
Checksum failed. Expected: d8d7, Got: 124d
Checksum failed. Expected: e68b, Got: 1a0e
Checksum failed. Expected: 4360, Got: 260f
Checksum failed. Expected: 0b7c, Got: 289b
Checksum failed. Expected: cffd, Got: 22f5
Checksum failed. Expected: 2300, Got: 9508
Checksum failed. Expected: b409, Got: 96ea
Checksum failed. Expected: 02d0, Got: 1256
Checksum failed. Expected: 07ed, Got: 8cfd
Checksum failed. Expected: fc4c, Got: 9543
Checksum failed. Expected: 0903, Got: 9040
Checksum failed. Expected: af5f, Got: 909d
Checksum failed. Expected: a593, Got: 1f39
Checksum failed. Expected: 4c2d, Got: a05a
Checksum failed. Expected: 8f68, Got: 97fd
Checksum failed. Expected: 4e9d, Got: 984b
Checksum failed. Expected: dd28, Got: 1733
Checksum failed. Expected: f9bd, Got: 8f40
Checksum failed. Expected: d7c4, Got: fd02
Checksum failed. Expected: 1fc7, Got: 74ba
Checksum failed. Expected: c8a9, Got: 7b8e
