
#################################################################
Log started at 2025-06-12_16-20-05 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: e7cc, Got: 7ae2
Checksum failed. Expected: c757, Got: e979
Checksum failed. Expected: 4ab2, Got: 5811
Checksum failed. Expected: dffa, Got: c6a8
Checksum failed. Expected: 1c95, Got: 3540
Checksum failed. Expected: 704f, Got: a3d7
Checksum failed. Expected: 159a, Got: 126f
Checksum failed. Expected: a8c6, Got: 8106
Checksum failed. Expected: 742c, Got: ef9e
Checksum failed. Expected: ef24, Got: 5e36
Checksum failed. Expected: 8ab4, Got: cccd
Checksum failed. Expected: 2def, Got: 3b65
Checksum failed. Expected: cba9, Got: a9fc
Checksum failed. Expected: 49d2, Got: 1894
Checksum failed. Expected: 0952, Got: 872b
Checksum failed. Expected: 6aea, Got: f5c3
Checksum failed. Expected: d712, Got: 645a
Checksum failed. Expected: 236f, Got: d2f2
Checksum failed. Expected: a077, Got: 418a
Checksum failed. Expected: 3d2f, Got: b021
Checksum failed. Expected: dc12, Got: 1eb9
Checksum failed. Expected: df72, Got: 8d50
Checksum failed. Expected: 1aea, Got: fbe8
Checksum failed. Expected: 1b36, Got: 6a7f
Checksum failed. Expected: e895, Got: d917
Checksum failed. Expected: fbc9, Got: 47ae
Checksum failed. Expected: bfbe, Got: b646
Checksum failed. Expected: 5f9c, Got: 24de
Checksum failed. Expected: b33d, Got: 9375
Checksum failed. Expected: 0922, Got: 020d
Checksum failed. Expected: 0c6e, Got: 70a4
Checksum failed. Expected: 7efc, Got: df3c
Checksum failed. Expected: a110, Got: 4dd3
Checksum failed. Expected: 1aeb, Got: bc6b
Checksum failed. Expected: dba3, Got: 2b02
Checksum failed. Expected: 840a, Got: 999a
Checksum failed. Expected: 0556, Got: 0832
Checksum failed. Expected: c1b4, Got: 76c9
Checksum failed. Expected: bab0, Got: e561
Checksum failed. Expected: 74fa, Got: 53f8
Checksum failed. Expected: b909, Got: c290
Checksum failed. Expected: 7aa9, Got: 3127
Checksum failed. Expected: 45e2, Got: 9fbf
Checksum failed. Expected: 3c96, Got: 0e56
Checksum failed. Expected: 8f55, Got: 7cee
Checksum failed. Expected: be26, Got: eb85
Checksum failed. Expected: 9a6b, Got: 5a1d
Checksum failed. Expected: 79b3, Got: c8b5
Checksum failed. Expected: 4735, Got: 374c
