
#################################################################
Log started at 2025-06-13_14-52-58 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: ca88, Got: 000e
Checksum failed. Expected: dc97, Got: 000e
Checksum failed. Expected: 41e4, Got: 000e
Checksum failed. Expected: da0d, Got: 000e
Checksum failed. Expected: 2f1b, Got: 000e
Checksum failed. Expected: c71e, Got: 000e
Checksum failed. Expected: c6e7, Got: 000e
Checksum failed. Expected: 4dc1, Got: 000e
Checksum failed. Expected: d36c, Got: 000e
Checksum failed. Expected: fe6b, Got: 000e
Checksum failed. Expected: e54f, Got: 000e
Checksum failed. Expected: eb7c, Got: 000e
Checksum failed. Expected: 86cb, Got: 000e
Checksum failed. Expected: 3a03, Got: 000e
Checksum failed. Expected: 1c9e, Got: 000e
Checksum failed. Expected: 5bf5, Got: 000e
Checksum failed. Expected: b671, Got: 000e
Checksum failed. Expected: 7f2a, Got: 000e
Checksum failed. Expected: 2996, Got: 000e
Checksum failed. Expected: af56, Got: 000e
Checksum failed. Expected: 08a6, Got: 000e
Checksum failed. Expected: 2cf4, Got: 000e
Checksum failed. Expected: c40b, Got: 000e
Checksum failed. Expected: 6b3e, Got: 000e
Checksum failed. Expected: 58a3, Got: 000e
Checksum failed. Expected: cd20, Got: 000e
Checksum failed. Expected: 8d1f, Got: 000e
Checksum failed. Expected: ebc7, Got: 000e
Checksum failed. Expected: c7e2, Got: 000e
Checksum failed. Expected: 18c7, Got: 000e
Checksum failed. Expected: 4a4b, Got: 000e
Checksum failed. Expected: 7cc0, Got: 000e
Checksum failed. Expected: 17fc, Got: 000e
Checksum failed. Expected: 7e6f, Got: 000e
Checksum failed. Expected: 2036, Got: 000e
Checksum failed. Expected: 8130, Got: 000e
Checksum failed. Expected: 5807, Got: 000e
Checksum failed. Expected: 943a, Got: 000e
Checksum failed. Expected: c7be, Got: 000e
